"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"COL7A1"	2.04000428531259e-132	0.600439038805942	0.423	0.059	4.76871401734671e-128	"7"	"COL7A1"
"PGC"	1.97642740765034e-114	0.411059426443925	0.255	0.022	4.62009670812343e-110	"7"	"PGC"
"TNC"	1.92294356440607e-108	1.16160107754083	0.348	0.049	4.49507287615563e-104	"7"	"TNC"
"MGP"	1.24784410022485e-100	-2.57822366643121	0.788	0.985	2.91696036868562e-96	"7"	"MGP"
"DCN"	6.93805998567293e-96	-1.278597181328	0.991	0.999	1.6218409022509e-91	"7"	"DCN"
"APOD"	3.08551001318414e-91	-2.66998588008311	0.586	0.912	7.21268820681926e-87	"7"	"APOD"
"S100A2"	4.27126998541039e-91	0.669168874285701	0.452	0.098	9.98452071789532e-87	"7"	"S100A2"
"LGALS1"	4.71963022198015e-89	1.01235077713269	1	0.998	1.10326076069008e-84	"7"	"LGALS1"
"FBLN1"	5.02987335350076e-87	-1.73148138057585	0.846	0.963	1.17578319511434e-82	"7"	"FBLN1"
"FN1"	3.7588657716624e-84	1.3830518304007	0.994	0.865	8.78672462783802e-80	"7"	"FN1"
"SPARCL1"	2.36868986626604e-80	-1.65333353130062	0.597	0.902	5.5370494313835e-76	"7"	"SPARCL1"
"SEPP1"	5.73681746667436e-78	-1.88706566025925	0.304	0.757	1.3410384510098e-73	"7"	"SEPP1"
"SPOCD1"	3.82478143390144e-77	0.358432989704393	0.264	0.038	8.94080907988802e-73	"7"	"SPOCD1"
"SERPINF1"	3.0063223426704e-76	-1.36285401690567	0.881	0.969	7.02757910822633e-72	"7"	"SERPINF1"
"CST3"	4.37991536940261e-74	-1.19262252831311	0.994	0.996	1.02384901675155e-69	"7"	"CST3"
"CHN1"	1.03378979706869e-73	0.98579803852148	0.614	0.222	2.41658702962777e-69	"7"	"CHN1"
"GAPDH"	4.182393266579e-72	1.01314304170439	1	0.979	9.77676249995507e-68	"7"	"GAPDH"
"POSTN"	2.64442236751415e-71	1.83039572372762	0.884	0.589	6.18160172630109e-67	"7"	"POSTN"
"WNT5A"	1.24679846915691e-70	0.856929879257479	0.525	0.16	2.91451610150118e-66	"7"	"WNT5A"
"C7"	1.93985890701876e-69	-3.45180469677058	0.162	0.628	4.53461418104705e-65	"7"	"C7"
"SEZ6L2"	3.44000988311109e-64	0.361516123145245	0.313	0.062	8.04136710276047e-60	"7"	"SEZ6L2"
"C3"	7.93063536187531e-64	-1.96399608897169	0.467	0.785	1.85386532219197e-59	"7"	"C3"
"COL5A1"	2.43660878105312e-62	0.975200440160664	0.959	0.72	5.69581668658977e-58	"7"	"COL5A1"
"ALDH1A1"	3.48047564539614e-60	-1.65603202386402	0.232	0.652	8.13595986867801e-56	"7"	"ALDH1A1"
"COL5A2"	4.51636226379597e-59	0.794757264319357	0.98	0.803	1.05574484278495e-54	"7"	"COL5A2"
"C1S"	1.86096180412307e-58	-0.924073339758538	0.968	0.987	4.35018431331808e-54	"7"	"C1S"
"TXNIP"	2.57007771901385e-58	-1.19186156217525	0.713	0.89	6.00781367596677e-54	"7"	"TXNIP"
"GSN"	4.34294457589556e-58	-1.7947243436545	0.919	0.953	1.01520672406135e-53	"7"	"GSN"
"TGFBI"	3.2213372365645e-57	1.13881902029443	0.783	0.401	7.53019792419319e-53	"7"	"TGFBI"
"SFRP4"	4.87645456483413e-57	-2.64985579419868	0.417	0.726	1.13992001907563e-52	"7"	"SFRP4"
"PRELP"	2.23734977503234e-56	-1.44557062627292	0.304	0.687	5.2300288341156e-52	"7"	"PRELP"
"C1R"	2.32304983699882e-56	-1.07175709267774	0.959	0.972	5.43036129896843e-52	"7"	"C1R"
"SLC16A3"	4.09657580568384e-55	0.751164062652274	0.667	0.289	9.57615560336654e-51	"7"	"SLC16A3"
"IGFBP7"	6.23283062301252e-55	-1.1808552904194	1	1	1.45698648643541e-50	"7"	"IGFBP7"
"ISG15"	7.90920756274942e-55	1.57092545237426	0.861	0.599	1.8488563598683e-50	"7"	"ISG15"
"LOXL2"	2.69497994740666e-54	0.856709282654522	0.672	0.286	6.2997851250578e-50	"7"	"LOXL2"
"SH3BGRL3"	1.83340998751675e-53	0.861628627842569	0.968	0.855	4.28577918681915e-49	"7"	"SH3BGRL3"
"ITM2B"	3.99804307732895e-53	-0.703600837854112	0.997	0.996	9.34582549756415e-49	"7"	"ITM2B"
"COL1A1"	8.17729479256986e-52	0.879210703727214	1	0.933	1.91152443071113e-47	"7"	"COL1A1"
"XIST"	9.81121905943915e-52	0.71444589391135	0.728	0.325	2.2934705673345e-47	"7"	"XIST"
"TSC22D3"	2.38168860793562e-51	-1.06461889652926	0.814	0.909	5.56743528991031e-47	"7"	"TSC22D3"
"SERPINH1"	8.48750732471274e-51	0.766346732298215	0.974	0.83	1.98403971222485e-46	"7"	"SERPINH1"
"COL5A3"	1.31110187552815e-50	0.508353617328221	0.357	0.096	3.0648317442346e-46	"7"	"COL5A3"
"SEC61G"	1.82981909241919e-50	0.701077792570115	0.962	0.86	4.2773851104391e-46	"7"	"SEC61G"
"SFRP2"	4.90579246835553e-49	-1.62552944299596	0.855	0.941	1.14677804740279e-44	"7"	"SFRP2"
"COL3A1"	6.36982004557139e-49	0.729807208713559	1	0.961	1.48900913385277e-44	"7"	"COL3A1"
"MFAP4"	1.48516265250738e-48	-1.36277356792823	0.577	0.799	3.47171621650126e-44	"7"	"MFAP4"
"ADAM12"	2.9391492539111e-48	0.682224064724964	0.629	0.269	6.87055529594259e-44	"7"	"ADAM12"
"COL1A2"	7.82649500531414e-48	0.705541358759265	1	0.989	1.82952147244223e-43	"7"	"COL1A2"
"SMOC2"	3.74455199644051e-47	-1.31908170035886	0.203	0.566	8.75326474687934e-43	"7"	"SMOC2"
"MMP14"	4.34417845938347e-47	1.01732131768668	0.957	0.749	1.01549515666548e-42	"7"	"MMP14"
"PTPRE"	1.5600697865444e-46	0.398061565148221	0.374	0.11	3.64681913302619e-42	"7"	"PTPRE"
"SULF1"	1.73796864225084e-46	1.02581532311699	0.872	0.594	4.06267549812557e-42	"7"	"SULF1"
"TMSB10"	1.84962343989503e-46	0.500319119158872	1	0.999	4.32367975309862e-42	"7"	"TMSB10"
"PFN1"	3.03850609682693e-46	0.656585508580641	0.988	0.949	7.10281185194263e-42	"7"	"PFN1"
"PXDN"	5.63717339956975e-46	0.687524595766114	0.704	0.35	1.31774565388343e-41	"7"	"PXDN"
"ITGA5"	5.85427033396232e-46	0.76542574897819	0.635	0.291	1.36849423326703e-41	"7"	"ITGA5"
"PKM"	1.35720888592608e-45	0.658766046736055	0.983	0.816	3.17261149174081e-41	"7"	"PKM"
"MICAL2"	2.56724832109801e-45	0.49944655124055	0.562	0.225	6.00119967539872e-41	"7"	"MICAL2"
"ASPN"	1.3926548561224e-44	-1.02566891676913	0.554	0.835	3.25546999167172e-40	"7"	"ASPN"
"TPM2"	1.52737716495277e-44	0.736134066236863	0.988	0.922	3.57039686079359e-40	"7"	"TPM2"
"SERPING1"	2.82500150196059e-44	-0.767075993805143	0.957	0.976	6.60372351098308e-40	"7"	"SERPING1"
"UBC"	3.55205653556772e-44	-0.744171903583568	0.986	0.991	8.30328735754311e-40	"7"	"UBC"
"SPHK1"	7.72061027650814e-44	0.658765975309176	0.655	0.319	1.80476985823654e-39	"7"	"SPHK1"
"RAI14"	1.27286005637134e-42	0.565042320445455	0.643	0.3	2.97543766777364e-38	"7"	"RAI14"
"ITGB1"	1.35808684938377e-42	0.635812197727808	0.986	0.94	3.17466381911949e-38	"7"	"ITGB1"
"CFL1"	1.69783751991414e-42	0.577555315471422	0.994	0.959	3.9688649865513e-38	"7"	"CFL1"
"COL6A1"	6.96421917583485e-42	0.889064462943809	0.983	0.914	1.62795587454315e-37	"7"	"COL6A1"
"RPS4Y1"	4.64639322683298e-41	-1.23578773359889	0.177	0.563	1.08614088070448e-36	"7"	"RPS4Y1"
"PTK7"	5.88408885465985e-41	0.645735341538072	0.809	0.477	1.37546461066529e-36	"7"	"PTK7"
"CCDC80"	2.17767345698414e-40	-1.10609215541833	0.904	0.94	5.09052947304613e-36	"7"	"CCDC80"
"CTSB"	2.18076716445559e-40	0.691597331462735	0.977	0.785	5.09776132363138e-36	"7"	"CTSB"
"GREM1"	1.19799721572087e-39	0.926074847005581	0.71	0.361	2.8004382914691e-35	"7"	"GREM1"
"ADAM19"	1.5124354740666e-39	0.390582967948896	0.333	0.101	3.53546916417809e-35	"7"	"ADAM19"
"CMIP"	3.01750432709304e-38	0.464458171950755	0.461	0.177	7.0537181150127e-34	"7"	"CMIP"
"SLC39A14"	3.49168035415035e-38	0.423107243151111	0.481	0.192	8.16215199586185e-34	"7"	"SLC39A14"
"BCAT1"	1.51397898959248e-37	0.402483893777986	0.51	0.206	3.53907728607138e-33	"7"	"BCAT1"
"PLOD2"	1.90181641673547e-37	0.682456190981698	0.757	0.464	4.44568605576085e-33	"7"	"PLOD2"
"TNFAIP6"	2.86654314256433e-37	0.725058782690278	0.681	0.359	6.70083125005837e-33	"7"	"TNFAIP6"
"TMEM158"	3.93333169863023e-37	0.780503457323275	0.577	0.279	9.19455617871803e-33	"7"	"TMEM158"
"BMP1"	5.47636626729477e-37	0.530495128867224	0.635	0.307	1.28015537864283e-32	"7"	"BMP1"
"TSHZ2"	8.73327589351147e-37	-0.956974190405821	0.53	0.748	2.04149057286724e-32	"7"	"TSHZ2"
"GAS6"	9.28973116822048e-37	-0.899207766435239	0.571	0.763	2.17156755788322e-32	"7"	"GAS6"
"OSTC"	9.86653079144929e-37	0.575667552087321	0.959	0.831	2.30640023780919e-32	"7"	"OSTC"
"SERF2"	1.35746362590957e-36	0.387438860854989	1	0.999	3.17320697192621e-32	"7"	"SERF2"
"CD82"	1.67854021603542e-36	0.50225169833016	0.426	0.163	3.9237556090044e-32	"7"	"CD82"
"SPARC"	1.9891184737538e-36	0.601152300642831	1	0.975	4.64976334424687e-32	"7"	"SPARC"
"CALU"	2.40247258254977e-36	0.606845645352655	0.925	0.743	5.61601990896835e-32	"7"	"CALU"
"TPM4"	2.57292776476391e-36	0.574146331849748	0.983	0.847	6.01447594291211e-32	"7"	"TPM4"
"ADAMTS12"	2.57322417062037e-36	0.485412724130927	0.586	0.267	6.01516882124217e-32	"7"	"ADAMTS12"
"MYH9"	5.93400348145966e-36	0.677818250502198	0.936	0.763	1.38713265382601e-31	"7"	"MYH9"
"ZNF469"	8.82932608707907e-36	0.301211711750783	0.322	0.099	2.0639432661156e-31	"7"	"ZNF469"
"OGN"	9.79481061458155e-36	-1.05658141459673	0.096	0.43	2.28963492926458e-31	"7"	"OGN"
"LUM"	1.057625418506e-35	-0.797009171968936	0.971	0.998	2.47230517829961e-31	"7"	"LUM"
"COL6A3"	2.39142817558427e-35	0.637981155479534	0.986	0.958	5.59020250324578e-31	"7"	"COL6A3"
"UBTD1"	1.16573069253463e-34	0.265043733939453	0.374	0.129	2.72501206686896e-30	"7"	"UBTD1"
"TPST2"	1.53600686942957e-34	0.36777553461698	0.42	0.16	3.59056965797856e-30	"7"	"TPST2"
"OAS2"	2.26049050883865e-34	0.295142313006704	0.267	0.075	5.28412261346124e-30	"7"	"OAS2"
"S100A11"	3.63628219103442e-34	0.432690300756055	1	0.981	8.50017324976205e-30	"7"	"S100A11"
"EPSTI1"	6.05072650618451e-34	0.570568495140681	0.728	0.423	1.41441782808569e-29	"7"	"EPSTI1"
"OMD"	9.02813828433218e-34	-0.909623019142377	0.145	0.472	2.11041760534549e-29	"7"	"OMD"
"B3GNT2"	4.9488708137471e-33	0.316253153464595	0.374	0.134	1.15684804142152e-28	"7"	"B3GNT2"
"INS"	6.16514259524803e-33	-0.89392592610405	0.751	0.933	1.44116373306518e-28	"7"	"INS"
"STMN1"	7.95152946155834e-33	0.533812021467926	0.699	0.374	1.85874952693388e-28	"7"	"STMN1"
"IL8"	9.43225326154558e-33	2.17493935334105	0.365	0.141	2.20488352241889e-28	"7"	"IL8"
"ATP5E"	1.08470944482165e-32	0.415354868579892	0.988	0.977	2.53561679821509e-28	"7"	"ATP5E"
"PTGDS"	1.47615112972007e-32	-2.49065438868072	0.449	0.68	3.45065088083365e-28	"7"	"PTGDS"
"IFI6"	1.68362754028158e-32	1.25594400426757	0.838	0.66	3.93564773816221e-28	"7"	"IFI6"
"RPL7"	2.09020732130839e-32	-0.430568705739384	1	0.998	4.8860686342905e-28	"7"	"RPL7"
"NTM"	4.29004124187411e-32	0.572326894355093	0.713	0.405	1.00284004070049e-27	"7"	"NTM"
"ENAH"	5.22736110532363e-32	0.53096443348786	0.675	0.371	1.22194793198045e-27	"7"	"ENAH"
"INHBA"	1.56167071862055e-31	0.735422274627797	0.881	0.622	3.6505614718474e-27	"7"	"INHBA"
"CXCL3"	1.58896857768557e-31	1.24187400500919	0.325	0.117	3.71437294719778e-27	"7"	"CXCL3"
"FRZB"	1.87321155303235e-31	-1.12877428802363	0.336	0.584	4.37881932636841e-27	"7"	"FRZB"
"HIF1A"	5.68070090147583e-31	0.794675151270687	0.73	0.451	1.32792064272899e-26	"7"	"HIF1A"
"SRPX"	6.38593180866313e-31	-1.27166241504414	0.368	0.597	1.49277541959309e-26	"7"	"SRPX"
"SSR3"	6.52492731721827e-31	0.551133885728581	0.922	0.744	1.52526700967294e-26	"7"	"SSR3"
"OST4"	1.83257231721716e-30	0.430156444174654	0.983	0.952	4.28382104872683e-26	"7"	"OST4"
"IGFBP2"	1.83304892201255e-30	1.24767636782124	0.635	0.365	4.28493516009653e-26	"7"	"IGFBP2"
"ENO1"	5.30869809289979e-30	0.683524066235896	0.928	0.792	1.24096126619625e-25	"7"	"ENO1"
"MARCKSL1"	8.79474688274883e-30	0.476318708379565	0.739	0.436	2.05586003131137e-25	"7"	"MARCKSL1"
"TAF13"	1.95486738700496e-29	0.247892879977816	0.322	0.11	4.56969800386278e-25	"7"	"TAF13"
"MMP11"	2.09792001244909e-29	1.62778896356017	0.794	0.556	4.90409782110099e-25	"7"	"MMP11"
"WISP1"	2.48136978708238e-29	0.232981260553404	0.328	0.113	5.80045001428377e-25	"7"	"WISP1"
"TMSB4X"	2.61541441288689e-29	0.417543641674665	1	1	6.11379273156439e-25	"7"	"TMSB4X"
"IKBIP"	2.68422288155184e-29	0.432867691804439	0.646	0.352	6.27463940791557e-25	"7"	"IKBIP"
"RPS27"	2.8623339636459e-29	-0.347773351685315	0.997	1	6.69099187341866e-25	"7"	"RPS27"
"RPL10A"	3.05216293494939e-29	-0.442559218031435	0.991	0.992	7.1347360767377e-25	"7"	"RPL10A"
"MARCKS"	7.11803455042324e-29	0.509160906165149	0.936	0.745	1.66391175650694e-24	"7"	"MARCKS"
"PHLDA2"	1.4039993668571e-28	0.537731690361013	0.565	0.296	3.28198891996516e-24	"7"	"PHLDA2"
"ZFP36L2"	1.55664184039545e-28	-0.808752550416268	0.762	0.842	3.63880596610839e-24	"7"	"ZFP36L2"
"PFKFB3"	3.22236765502262e-28	0.25290759378221	0.296	0.1	7.53260663038089e-24	"7"	"PFKFB3"
"ITGAV"	5.28761103106928e-28	0.537629858804535	0.728	0.457	1.23603195462275e-23	"7"	"ITGAV"
"TTYH3"	6.80328337510507e-28	0.343803851789473	0.394	0.157	1.59033552176456e-23	"7"	"TTYH3"
"THBS2"	7.3775593462451e-28	0.474580530901259	0.968	0.733	1.72457827277825e-23	"7"	"THBS2"
"PEBP1"	7.52483871212447e-28	-0.517848267803342	0.878	0.915	1.75900629734622e-23	"7"	"PEBP1"
"FOXO3"	7.61107048876564e-28	-0.789319995162347	0.426	0.613	1.77916383745386e-23	"7"	"FOXO3"
"HLA-B"	9.99171831067033e-28	0.669821040032611	0.991	0.965	2.3356640723023e-23	"7"	"HLA-B"
"GJA1"	1.06681116751107e-27	0.668963540930695	0.71	0.422	2.49377778517388e-23	"7"	"GJA1"
"PMEPA1"	1.47697860781418e-27	0.516124661622755	0.742	0.443	3.45258519362642e-23	"7"	"PMEPA1"
"TNFAIP3"	1.64693976095105e-27	0.916891740110211	0.406	0.183	3.84988638519918e-23	"7"	"TNFAIP3"
"FXYD1"	3.53976327775452e-27	-1.0133449854993	0.238	0.482	8.27455063807897e-23	"7"	"FXYD1"
"POMP"	3.77207966817164e-27	0.47786662834146	0.942	0.831	8.81761343231802e-23	"7"	"POMP"
"SMYD3"	4.68860318040945e-27	0.406287897757351	0.446	0.201	1.09600787945251e-22	"7"	"SMYD3"
"CKAP4"	4.75585688914154e-27	0.538396206910903	0.78	0.527	1.11172910640573e-22	"7"	"CKAP4"
"ITGA1"	5.90031067532744e-27	0.515182242801442	0.661	0.376	1.37925662346454e-22	"7"	"ITGA1"
"FBLN5"	6.26548519380248e-27	-1.07260132791504	0.368	0.576	1.46461981890327e-22	"7"	"FBLN5"
"TMEM132A"	8.24922007359945e-27	0.224557643489349	0.31	0.109	1.92833768440461e-22	"7"	"TMEM132A"
"FMO2"	1.31716517771162e-26	-0.998388857382715	0.026	0.291	3.07900531941869e-22	"7"	"FMO2"
"NFIA"	1.46122209270751e-26	-0.831921038848945	0.206	0.461	3.41575276391307e-22	"7"	"NFIA"
"B2M"	1.81849219822553e-26	0.43452232711891	1	1	4.25090736257201e-22	"7"	"B2M"
"CTHRC1"	3.90527462199718e-26	0.547913619221805	0.974	0.82	9.12896995638061e-22	"7"	"CTHRC1"
"LEPRE1"	4.0096807805223e-26	0.395141661836654	0.649	0.359	9.37302979254893e-22	"7"	"LEPRE1"
"PGAM1"	4.14264301847158e-26	0.514714573163219	0.87	0.679	9.68384231997916e-22	"7"	"PGAM1"
"HEPH"	4.21685498317806e-26	0.349015193907484	0.47	0.212	9.85732020867703e-22	"7"	"HEPH"
"CYP1B1"	4.66957621651755e-26	-0.91441493270779	0.252	0.535	1.09156013637314e-21	"7"	"CYP1B1"
"ABRACL"	4.93162923380737e-26	0.388226684357392	0.62	0.331	1.15281764969481e-21	"7"	"ABRACL"
"KDELR2"	6.79816621551248e-26	0.477414304465365	0.942	0.812	1.5891393345382e-21	"7"	"KDELR2"
"CLU"	6.90659024723413e-26	-1.07355899638328	0.583	0.71	1.61448453619345e-21	"7"	"CLU"
"COL14A1"	7.096331408993e-26	-1.09752316146349	0.264	0.495	1.6588384301662e-21	"7"	"COL14A1"
"CIRBP"	1.08772576217139e-25	-0.537828094089468	0.904	0.929	2.54266774165184e-21	"7"	"CIRBP"
"CFD"	4.52943817985749e-25	-3.26475673650256	0.249	0.479	1.05880146892349e-20	"7"	"CFD"
"SUGCT"	5.84425746822431e-25	0.703812576515176	0.513	0.27	1.36615362577211e-20	"7"	"SUGCT"
"ALDOA"	7.1952960038601e-25	0.432006224757437	0.98	0.914	1.68197239386234e-20	"7"	"ALDOA"
"RPL11"	9.18396725744135e-25	-0.285288811713841	0.997	1	2.14684418609949e-20	"7"	"RPL11"
"ZFP36"	1.0622807971055e-24	-1.14865899463863	0.823	0.865	2.48318759131383e-20	"7"	"ZFP36"
