"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"IGLL5"	0	1.78895184056236	0.922	0.339	0	"4"	"IGLL5"
"COL11A1"	5.48243978175444e-285	2.06961622158714	0.967	0.402	1.28157512338292e-280	"4"	"COL11A1"
"MMP11"	5.42899427060103e-265	2.26581875124595	0.984	0.517	1.2690817006957e-260	"4"	"MMP11"
"MMP14"	3.65224918523385e-261	1.83282182996352	0.988	0.732	8.53749769540266e-257	"4"	"MMP14"
"SDC1"	2.93962474571624e-260	1.50695145126869	0.901	0.334	6.87166680558627e-256	"4"	"SDC1"
"COL1A2"	2.33609159513061e-250	1.57661823235899	1	0.988	5.46084771277732e-246	"4"	"COL1A2"
"COL5A2"	1.2604223443793e-239	1.63034007740294	1	0.789	2.94636327222104e-235	"4"	"COL5A2"
"COL12A1"	1.18460894722689e-225	1.77058327055511	0.958	0.572	2.76914187503759e-221	"4"	"COL12A1"
"FN1"	1.26653638421671e-219	1.72309594852109	1	0.856	2.96065545174498e-215	"4"	"FN1"
"COL10A1"	2.48166687919014e-216	1.49233429915571	0.988	0.61	5.80114449679486e-212	"4"	"COL10A1"
"AEBP1"	7.78798776543022e-215	1.28199197708714	0.997	0.912	1.82052002004697e-210	"4"	"AEBP1"
"COL1A1"	7.43199036179611e-214	1.60419852586048	1	0.928	1.73730206697346e-209	"4"	"COL1A1"
"COL3A1"	2.60988286820503e-209	1.29436268807044	1	0.958	6.10086219271607e-205	"4"	"COL3A1"
"LRRC15"	1.55108776458964e-199	1.01999065348638	0.604	0.147	3.62582275850473e-195	"4"	"LRRC15"
"KLK4"	1.05485555387374e-187	0.71981649475501	0.301	0.028	2.46583034273526e-183	"4"	"KLK4"
"SPARC"	6.45493953512105e-181	1.10098304017116	1	0.974	1.5089066657299e-176	"4"	"SPARC"
"ANTXR1"	5.63648225636497e-178	1.2029908252848	0.943	0.618	1.31758409224788e-173	"4"	"ANTXR1"
"TIMP1"	2.9077345787744e-171	-2.41818391972954	0.987	0.996	6.79712035134304e-167	"4"	"TIMP1"
"MMP2"	5.90578507668704e-171	1.02317737450193	0.997	0.907	1.38053631952636e-166	"4"	"MMP2"
"HTRA1"	1.4534469963083e-167	1.18200202600964	0.978	0.842	3.39757769857029e-163	"4"	"HTRA1"
"MT2A"	2.53679746481719e-167	-2.47015809713115	0.978	0.99	5.93001775375665e-163	"4"	"MT2A"
"THBS2"	6.62124948784334e-165	1.14815887147124	0.988	0.716	1.54778328027826e-160	"4"	"THBS2"
"MGP"	1.06496726906257e-164	-2.61560616552671	0.967	0.976	2.48946748816066e-160	"4"	"MGP"
"COL5A1"	4.24200139014604e-162	1.26601078736182	0.98	0.702	9.91610244960539e-158	"4"	"COL5A1"
"F13A1"	4.92845223805821e-161	0.898455380122695	0.539	0.137	1.15207499516849e-156	"4"	"F13A1"
"ARL4C"	2.38550435670752e-160	1.06558461815704	0.761	0.309	5.57635498423949e-156	"4"	"ARL4C"
"COL6A3"	6.1500951184845e-160	1.06969201299366	1	0.954	1.43764623489694e-155	"4"	"COL6A3"
"RUNX2"	2.31504748964365e-159	0.999498996039244	0.728	0.277	5.411655011791e-155	"4"	"RUNX2"
"POSTN"	1.91759903033517e-154	1.21998233954636	0.967	0.56	4.48257949331149e-150	"4"	"POSTN"
"SOD3"	1.07022094876674e-151	-1.97583543494321	0.172	0.691	2.50174848983714e-147	"4"	"SOD3"
"MFAP2"	9.86732046766924e-149	1.01769437303863	0.914	0.574	2.30658483252236e-144	"4"	"MFAP2"
"CTHRC1"	2.09426109270131e-146	1.07010140712713	0.997	0.808	4.89554473029858e-142	"4"	"CTHRC1"
"ADAM12"	1.40184206083756e-144	0.98209462195612	0.665	0.242	3.27694600141387e-140	"4"	"ADAM12"
"MXRA5"	1.33135952988912e-143	1.11014309415742	0.899	0.58	3.11218603706882e-139	"4"	"MXRA5"
"GAS1"	2.84093350419475e-143	1.17034815776242	0.839	0.431	6.64096615940565e-139	"4"	"GAS1"
"CD55"	1.28975905597579e-142	1.09065600274522	0.887	0.544	3.014940769249e-138	"4"	"CD55"
"COL8A2"	1.30151944137743e-138	0.920313648694034	0.633	0.225	3.04243184616389e-134	"4"	"COL8A2"
"PTK7"	1.09166081943675e-137	1.11883325837543	0.829	0.454	2.55186633151535e-133	"4"	"PTK7"
"APOD"	1.24746427371238e-137	-3.71871975384967	0.707	0.917	2.91607248623006e-133	"4"	"APOD"
"CST3"	1.75267225565971e-134	-1.18375217431504	0.978	0.998	4.09704666483013e-130	"4"	"CST3"
"C7"	3.19878117812677e-134	-3.53755253072128	0.206	0.652	7.47747088198915e-130	"4"	"C7"
"TMSB10"	3.69112164657918e-133	0.6272520080138	1	0.999	8.62836596104348e-129	"4"	"TMSB10"
