"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"HAS1"	0	2.90568221293827	0.869	0.072	0	"8"	"HAS1"
"AREG"	4.40657219763283e-237	1.7762478906988	0.429	0.018	1.03008031691865e-232	"8"	"AREG"
"HAS2"	2.49793769511559e-190	2.29114537260335	0.785	0.111	5.83917915610221e-186	"8"	"HAS2"
"NR4A3"	9.29211250535877e-177	1.55588399167076	0.717	0.093	2.17212421925267e-172	"8"	"NR4A3"
"IL6"	1.61192169892332e-168	2.90583702183068	0.597	0.065	3.76802816340315e-164	"8"	"IL6"
"SEMA6A"	1.64712525630923e-155	1.14592641764059	0.487	0.044	3.85031999914846e-151	"8"	"SEMA6A"
"GPRC5A"	9.53799621246453e-155	2.01472569582313	0.906	0.201	2.22960199462571e-150	"8"	"GPRC5A"
"KLF4"	9.45075752847008e-150	2.47173974294211	0.88	0.203	2.20920907985517e-145	"8"	"KLF4"
"TFPI2"	9.58714387096581e-148	2.22122844395027	0.77	0.142	2.24109075127697e-143	"8"	"TFPI2"
"RP1-3J17.3"	8.21283796805075e-142	1.02414898167952	0.602	0.076	1.91983300341154e-137	"8"	"RP1-3J17.3"
"NR4A2"	1.29738129785738e-130	1.82118807958243	0.723	0.134	3.0327585218714e-126	"8"	"NR4A2"
"CREM"	2.49165483099417e-126	2.13352256705969	0.901	0.286	5.82449233293196e-122	"8"	"CREM"
"KDM6B"	2.38736876112198e-124	1.50466324101247	0.853	0.196	5.58071321599873e-120	"8"	"KDM6B"
"ADAMTS4"	5.24733950294238e-110	1.59987756604963	0.733	0.164	1.22661808220781e-105	"8"	"ADAMTS4"
"PLAUR"	9.37124506200242e-107	2.26602195629035	0.969	0.479	2.19062224569369e-102	"8"	"PLAUR"
"MEDAG"	5.93306899428358e-105	1.87653021505025	0.775	0.196	1.38691420810373e-100	"8"	"MEDAG"
"MLLT11"	3.12469229548188e-104	1.62099771088435	0.759	0.2	7.30428070991843e-100	"8"	"MLLT11"
"NFATC2"	9.02962421571286e-102	1.22333914334145	0.565	0.094	2.11076495666504e-97	"8"	"NFATC2"
"SAT1"	1.617741853853e-100	2.56361777938971	1	0.889	3.78163335756677e-96	"8"	"SAT1"
"ID4"	1.09942520096716e-99	1.89579931793349	0.801	0.224	2.57001634978084e-95	"8"	"ID4"
"FOSL1"	1.44094901057197e-98	1.02878046893572	0.518	0.081	3.36836240711303e-94	"8"	"FOSL1"
"TUBB2A"	7.90934382940561e-98	1.8815371565535	0.77	0.223	1.84888821356185e-93	"8"	"TUBB2A"
"C11orf96"	2.5334982733537e-91	2.25941616234885	0.969	0.537	5.9223055637916e-87	"8"	"C11orf96"
"IGFBP2"	2.02983242374934e-88	2.09818500501649	0.901	0.364	4.74493627375645e-84	"8"	"IGFBP2"
