"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"PLA2G2A"	0	3.6873657211382	0.619	0.096	0	"3"	"PLA2G2A"
"SCRG1"	9.84679343156291e-197	1.0875445027484	0.656	0.175	2.30178643256215e-192	"3"	"SCRG1"
"COL14A1"	1.4871649729244e-191	1.32718950156446	0.912	0.426	3.47639684070808e-187	"3"	"COL14A1"
"C3"	3.82702818485563e-162	1.27708276164061	0.992	0.738	8.94606108491852e-158	"3"	"C3"
"NR4A1"	2.37083899884427e-161	1.26183706506909	0.881	0.479	5.54207324369837e-157	"3"	"NR4A1"
"IGF1"	3.16423595057811e-155	1.76259038138295	0.767	0.346	7.39671795807138e-151	"3"	"IGF1"
"GPRC5A"	1.25086351555428e-150	0.894190095103258	0.589	0.175	2.92401855395967e-146	"3"	"GPRC5A"
"ANK2"	1.3506336050873e-147	0.660541592226785	0.381	0.07	3.15724111525208e-143	"3"	"ANK2"
"EGR3"	1.61404278059696e-139	0.831020678515613	0.499	0.126	3.77298640392345e-135	"3"	"EGR3"
"SLC19A2"	6.41659980169405e-139	0.836465660042717	0.622	0.206	1.499944369644e-134	"3"	"SLC19A2"
"CHRDL1"	7.61591449173801e-137	0.548350468301674	0.451	0.1	1.78029617158868e-132	"3"	"CHRDL1"
"CCDC80"	3.33946289998068e-135	1.19314501177918	0.997	0.93	7.80632847499484e-131	"3"	"CCDC80"
"MEDAG"	6.64742821845921e-134	0.909558255097213	0.553	0.169	1.55390282034702e-129	"3"	"MEDAG"
"ABL2"	4.33062926547804e-131	1.08874205977685	0.726	0.328	1.01232789709815e-126	"3"	"ABL2"
"EFEMP1"	2.938778114117e-130	1.12004867694969	0.924	0.633	6.8696877195599e-126	"3"	"EFEMP1"
"CTGF"	4.33048254528611e-130	1.57353180392103	0.983	0.87	1.01229359978608e-125	"3"	"CTGF"
"SERPINE2"	1.89245683016387e-129	1.77352054233578	0.775	0.414	4.42380708619105e-125	"3"	"SERPINE2"
"MCL1"	2.435543119189e-124	0.991797965570808	0.938	0.75	5.69332559541622e-120	"3"	"MCL1"
"OGN"	1.99135641538984e-123	0.847743546898737	0.807	0.359	4.65499475661529e-119	"3"	"OGN"
"NFATC1"	5.52716638790026e-123	0.647310688665003	0.419	0.101	1.29203041483556e-118	"3"	"NFATC1"
"IGFBP4"	1.45396125406116e-117	0.975952300715993	0.997	0.946	3.39877982749336e-113	"3"	"IGFBP4"
"PTGIS"	3.35818508108645e-117	0.685795689781265	0.628	0.222	7.85009344554768e-113	"3"	"PTGIS"
"SCG2"	6.954734605343e-115	0.835653944264808	0.325	0.065	1.62573876134498e-110	"3"	"SCG2"
"CSRNP1"	1.34029826029511e-114	0.748770214478304	0.592	0.218	3.13308121326584e-110	"3"	"CSRNP1"
"NR4A3"	5.71232958078304e-114	0.525341538386093	0.365	0.079	1.33531416280384e-109	"3"	"NR4A3"
"RARRES1"	9.79290184403939e-110	1.11433953164718	0.857	0.472	2.28918873506265e-105	"3"	"RARRES1"
"CYR61"	1.02249628951775e-106	1.13140930576942	0.982	0.822	2.3901873263767e-102	"3"	"CYR61"
"SERPINF1"	4.72358455485125e-106	0.792685945678913	0.997	0.96	1.10418512554203e-101	"3"	"SERPINF1"
"MGP"	1.79295509948386e-105	0.956682145171138	1	0.971	4.19121184055348e-101	"3"	"MGP"
"ITM2A"	4.83524263704486e-105	0.820396845906035	0.668	0.28	1.13028631883561e-100	"3"	"ITM2A"
"FBLN1"	1.24581566320829e-101	0.832679338685991	0.997	0.951	2.91221869431571e-97	"3"	"FBLN1"
