"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"CYR61"	7.84400802832637e-201	-1.96444926214187	0.565	0.899	1.83361531670157e-196	"1"	"CYR61"
"TIMP1"	3.4785483249279e-197	1.21325586031887	0.997	0.994	8.13145456435145e-193	"1"	"TIMP1"
"KCNMB1"	9.27912175351754e-193	1.12552612531401	0.493	0.126	2.16908750110226e-188	"1"	"KCNMB1"
"DUSP1"	1.52027054898834e-189	-1.59133418362971	0.685	0.919	3.55378443531514e-185	"1"	"DUSP1"
"F2R"	4.55392489548041e-169	1.24722308544685	0.795	0.468	1.0645254835675e-164	"1"	"F2R"
"AGT"	6.08342980581e-154	1.40888632079204	0.329	0.063	1.42206255140615e-149	"1"	"AGT"
"ANXA2"	1.74283657939087e-150	-0.857943504735135	0.887	0.96	4.0740547879841e-146	"1"	"ANXA2"
"IGFBP7"	8.90371250124285e-146	0.759200963909008	1	1	2.08133183429053e-141	"1"	"IGFBP7"
"THBS1"	9.20107381048694e-142	-1.4654324590625	0.431	0.772	2.15084301393943e-137	"1"	"THBS1"
"A2M"	2.20646444094248e-140	1.3068415555612	0.871	0.651	5.15783127714714e-136	"1"	"A2M"
"TSHZ2"	3.16364516922752e-132	0.879168194998566	0.898	0.702	7.39533694758625e-128	"1"	"TSHZ2"
"FOXS1"	4.04712882192605e-132	0.774115721994309	0.329	0.075	9.46056833413434e-128	"1"	"FOXS1"
"MGP"	1.42253364888779e-131	0.869714848275942	0.999	0.969	3.3253146576401e-127	"1"	"MGP"
"KLF6"	8.78175477012315e-130	-1.20175856522359	0.543	0.827	2.05282299506399e-125	"1"	"KLF6"
"ENG"	3.79560325481448e-128	0.987704261848407	0.761	0.488	8.87260216845434e-124	"1"	"ENG"
"MFAP5"	1.98618679306493e-124	-1.60514958669688	0.15	0.54	4.64291024746859e-120	"1"	"MFAP5"
"RARRES1"	1.68716825215403e-123	1.21418602304568	0.764	0.464	3.94392450623526e-119	"1"	"RARRES1"
"COL11A1"	2.02711225690863e-121	-1.98797041954582	0.166	0.528	4.73857761174961e-117	"1"	"COL11A1"
"S100A10"	4.42297122263876e-117	-0.854696331351627	0.839	0.95	1.03391375300404e-112	"1"	"S100A10"
"C1QTNF3"	1.96452822754062e-116	-1.93462617766042	0.089	0.458	4.59228118469896e-112	"1"	"C1QTNF3"
"APOD"	1.54090664005764e-114	1.20477001755038	0.967	0.878	3.60202336179873e-110	"1"	"APOD"
"RGCC"	6.14286613041917e-113	-1.58028364162628	0.236	0.598	1.43595638664679e-108	"1"	"RGCC"
"COL12A1"	9.73699378577437e-111	-1.4822352828208	0.354	0.67	2.27611966736262e-106	"1"	"COL12A1"
"TGM2"	1.33143426002063e-109	1.0354222061772	0.601	0.306	3.11236072622423e-105	"1"	"TGM2"
"ACTB"	2.63159611970853e-109	-0.77903777874996	0.998	0.999	6.15161908943065e-105	"1"	"ACTB"
"SDC1"	1.39575072056875e-108	-1.20221477403306	0.108	0.458	3.2627068844015e-104	"1"	"SDC1"
"CAV1"	8.60106063717678e-105	-0.946481789269364	0.312	0.669	2.01058393454644e-100	"1"	"CAV1"
"HEYL"	8.63270758518708e-105	0.752365491419263	0.405	0.141	2.01798172511333e-100	"1"	"HEYL"
