"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"CELA3A"	4.92215797181169e-136	0.809142994929658	0.733	0.2	1.1506036474907e-131	"6"	"CELA3A"
"PRSS1"	3.465986477961e-133	0.539590772444926	0.883	0.319	8.10208999088163e-129	"6"	"PRSS1"
"SOD3"	8.49953729009576e-116	1.58312233262686	0.951	0.611	1.98685183693278e-111	"6"	"SOD3"
"CTRB2"	7.71240709232637e-113	0.981463950562057	0.922	0.379	1.80285228190221e-108	"6"	"CTRB2"
"LGALS1"	6.40454117363667e-106	-1.28378071863149	0.993	0.998	1.49712554474931e-101	"6"	"LGALS1"
"GPX3"	1.04441512047402e-104	1.58030133584824	0.82	0.358	2.44142478562006e-100	"6"	"GPX3"
"C1R"	9.85130106168042e-104	1.046938017676	0.998	0.97	2.30284013617841e-99	"6"	"C1R"
"CTRC"	8.33145335895384e-102	0.512479482541087	0.706	0.22	1.94756053718905e-97	"6"	"CTRC"
"C3"	8.19717413930013e-101	1.42330483582303	0.985	0.751	1.9161714268028e-96	"6"	"C3"
"COL14A1"	1.04600233044376e-98	1.04263513342876	0.91	0.452	2.44513504764534e-94	"6"	"COL14A1"
"IGFBP7"	1.71073609108397e-98	1.08679564779704	1	1	3.99901668651789e-94	"6"	"IGFBP7"
"MGP"	1.45989921666264e-97	1.17597569346159	1	0.973	3.4126604088706e-93	"6"	"MGP"
"CTRB1"	1.22372085354579e-96	0.47448391599987	0.735	0.247	2.86056986724863e-92	"6"	"CTRB1"
"CLU"	1.37969789085043e-95	1.40107089707587	0.947	0.685	3.22518178965197e-91	"6"	"CLU"
"CST3"	3.02971583061925e-93	0.853200402390272	1	0.995	7.08226372565555e-89	"6"	"CST3"
"SERPINF1"	2.40776535584245e-92	1.11055914191573	0.998	0.962	5.62839229581732e-88	"6"	"SERPINF1"
"SYCN"	2.64142936493323e-90	0.345212069802694	0.57	0.153	6.17460528346791e-86	"6"	"SYCN"
"CHRDL1"	3.96977810251202e-90	0.654033536555466	0.476	0.117	9.27975329243209e-86	"6"	"CHRDL1"
"PNLIP"	1.21087833192785e-88	0.37157436037915	0.578	0.159	2.83054918871454e-84	"6"	"PNLIP"
"CPA1"	1.75683514435745e-83	0.232232806590084	0.653	0.209	4.10677783344998e-79	"6"	"CPA1"
"TNXB"	4.52410818652038e-83	0.619070989820649	0.549	0.157	1.057555529681e-78	"6"	"TNXB"
"NTRK2"	1.06533482855684e-81	0.721681331684219	0.631	0.21	2.49032669523447e-77	"6"	"NTRK2"
"PLA2G1B"	6.01757841619146e-80	0.419562861911145	0.566	0.169	1.40666913056892e-75	"6"	"PLA2G1B"
"ADH1B"	3.96985228119879e-78	0.992497519425776	0.692	0.252	9.27992669253029e-74	"6"	"ADH1B"
"PLA2G2A"	6.86739957994736e-78	0.928688875224831	0.478	0.134	1.6053233258085e-73	"6"	"PLA2G2A"
"C16orf89"	1.6227623652494e-76	0.613221595515749	0.468	0.129	3.79336930500701e-72	"6"	"C16orf89"
"RPS4Y1"	1.25128856838041e-75	-1.71735307055263	0.066	0.575	2.92501215744605e-71	"6"	"RPS4Y1"
"EFEMP1"	3.90190510571999e-75	1.18920948657743	0.922	0.648	9.12109337513104e-71	"6"	"EFEMP1"
"FBLN1"	2.61155784351396e-74	0.836863882523714	0.993	0.954	6.10477761499822e-70	"6"	"FBLN1"
"CPB1"	3.66631160272167e-74	0.217732880769591	0.65	0.219	8.57037000252217e-70	"6"	"CPB1"
"THBS4"	1.43819201338496e-73	1.48748998429797	0.597	0.223	3.36191765048869e-69	"6"	"THBS4"
"FBLN5"	1.57439354395962e-73	0.864890303537261	0.898	0.541	3.68030234836001e-69	"6"	"FBLN5"
"CCDC80"	1.93426006586839e-73	1.04768070397398	0.985	0.935	4.52152632997394e-69	"6"	"CCDC80"
"HSD11B1"	1.81242051804405e-71	0.907638596493848	0.617	0.235	4.23671420297976e-67	"6"	"HSD11B1"
"PI16"	4.92830564876801e-71	1.2021902394049	0.252	0.043	1.15204072845601e-66	"6"	"PI16"
"C1S"	3.66442938764281e-70	0.690169719110422	0.998	0.985	8.56597013655384e-66	"6"	"C1S"
"SFRP4"	1.43623566859135e-69	1.38844535870819	0.944	0.693	3.35734449889914e-65	"6"	"SFRP4"
"GCG"	2.18093093022958e-69	0.396236203776682	0.265	0.049	5.09814414250466e-65	"6"	"GCG"
"MMP11"	4.65819861061382e-68	-3.2760707308204	0.187	0.596	1.08890050721709e-63	"6"	"MMP11"
"TIMP1"	1.19113818974073e-67	1.17212855087338	1	0.994	2.78440463233793e-63	"6"	"TIMP1"
"FXYD2"	4.60098052531648e-67	0.617483223575701	0.799	0.381	1.07552520759798e-62	"6"	"FXYD2"
"CELA3B"	4.90987496603335e-67	0.368477985491571	0.437	0.119	1.14773237205996e-62	"6"	"CELA3B"
"LEPR"	5.0977338318137e-67	0.619309899133389	0.459	0.138	1.19164626052477e-62	"6"	"LEPR"
"CTSC"	9.21621458540501e-66	1.21929367941357	0.908	0.662	2.15438232148427e-61	"6"	"CTSC"
"GSN"	2.28798873269322e-65	0.972426300516312	0.993	0.948	5.34840246154368e-61	"6"	"GSN"
"GFRA1"	5.68937473464547e-65	0.400926300267907	0.32	0.071	1.32994823797073e-60	"6"	"GFRA1"
"INS"	6.63127826966661e-65	0.73998323208158	0.993	0.918	1.55012760831727e-60	"6"	"INS"
"PLAC9"	7.9516446301816e-65	1.03964101501649	0.835	0.519	1.85877644875125e-60	"6"	"PLAC9"
"SLIT3"	8.8026705729361e-63	0.752493823067722	0.621	0.261	2.05771227312954e-58	"6"	"SLIT3"
"GPBAR1"	7.6036812267801e-61	0.656884596088927	0.347	0.089	1.77743652357212e-56	"6"	"GPBAR1"
"AMY2A"	2.37359015747738e-60	0.0461085133522243	0.42	0.113	5.54850435211913e-56	"6"	"AMY2A"
"OGN"	1.08979122914594e-57	0.687125043532488	0.772	0.385	2.54749597725154e-53	"6"	"OGN"
"C7"	3.26652922733402e-57	0.801543640931166	0.966	0.576	7.635838721816e-53	"6"	"C7"
"CLPS"	6.79083676234049e-57	-0.0217837574632418	0.653	0.246	1.58742600156471e-52	"6"	"CLPS"
"NFIB"	2.37013352134623e-56	0.7001655763116	0.837	0.486	5.54042411949894e-52	"6"	"NFIB"
"ADAMTS1"	2.88333319550276e-56	0.937566923045624	0.633	0.287	6.74007967780726e-52	"6"	"ADAMTS1"
"REG1A"	4.46068093068318e-55	0.804272325328293	0.874	0.513	1.0427287743565e-50	"6"	"REG1A"
"SCARA5"	5.47729321237093e-55	0.472195752049275	0.277	0.063	1.28037206132383e-50	"6"	"SCARA5"
"SERPING1"	6.35906313674354e-55	0.615747040217345	0.995	0.973	1.48649459884517e-50	"6"	"SERPING1"
"MFAP4"	2.080413604247e-54	0.784439698577104	0.961	0.775	4.86317484128779e-50	"6"	"MFAP4"
"SERPINE2"	9.63088038279306e-54	0.959491062981397	0.784	0.433	2.25131459828171e-49	"6"	"SERPINE2"
"XIST"	3.10741591755753e-53	0.550768644986255	0.75	0.318	7.26389544888248e-49	"6"	"XIST"
"PODN"	2.20890411706576e-52	0.675771387259652	0.806	0.482	5.16353426405292e-48	"6"	"PODN"
"COL11A1"	3.19974630226328e-52	-2.08278456352441	0.121	0.489	7.47972695617064e-48	"6"	"COL11A1"
"POSTN"	6.21300498864722e-52	-1.93945861800908	0.267	0.63	1.45235204614617e-47	"6"	"POSTN"
