"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"MATN3"	3.11559901962829e-253	1.61967498265079	0.763	0.297	7.28302426828308e-249	"0"	"MATN3"
"GJB2"	9.90499575595347e-240	1.4224408262741	0.772	0.3	2.31539180791168e-235	"0"	"GJB2"
"ACTA2"	4.40672863932972e-221	1.52426900862511	0.983	0.798	1.03011688672972e-216	"0"	"ACTA2"
"SLC6A6"	4.76634710319246e-203	1.11884282852449	0.693	0.275	1.11418129884227e-198	"0"	"SLC6A6"
"IGFBP3"	2.31550794583688e-201	1.71943079187851	0.903	0.576	5.41273137418829e-197	"0"	"IGFBP3"
"C7"	8.18546934364978e-190	-3.05610857651091	0.287	0.676	1.91343531377157e-185	"0"	"C7"
"CTHRC1"	3.4316210920605e-181	0.944131928425421	0.997	0.789	8.02175746480063e-177	"0"	"CTHRC1"
"RP11-417E7.2"	5.17623298544098e-179	0.754101421362887	0.38	0.073	1.20999622267668e-174	"0"	"RP11-417E7.2"
"C1QTNF3"	1.20504871962799e-170	1.23940880612645	0.73	0.315	2.8169218870024e-166	"0"	"C1QTNF3"
"TPM1"	5.61787559245752e-170	0.917418318216497	0.992	0.876	1.31323459849287e-165	"0"	"TPM1"
"COL10A1"	3.88618796209747e-166	0.816288786123787	0.966	0.579	9.08435298019905e-162	"0"	"COL10A1"
"ACTB"	1.99319504345658e-160	0.74302436299983	1	0.998	4.65929273358409e-156	"0"	"ACTB"
"INHBA"	8.23684998249253e-159	0.908126493140029	0.923	0.57	1.92544605190745e-154	"0"	"INHBA"
"RGS16"	4.26578115741539e-156	1.95090496070671	0.61	0.254	9.97169003357422e-152	"0"	"RGS16"
"COL11A1"	1.45102746841212e-153	0.676961150394965	0.848	0.376	3.39192181016017e-149	"0"	"COL11A1"
"THBS2"	1.05649117827239e-142	0.764656246855934	0.966	0.695	2.46965377832954e-138	"0"	"THBS2"
"CST1"	3.55096230553243e-136	1.0657451756113	0.527	0.181	8.30072948541261e-132	"0"	"CST1"
"HOPX"	8.73026872800795e-134	0.889168382286894	0.855	0.503	2.04078761785914e-129	"0"	"HOPX"
"SPP1"	3.5897107884218e-128	0.593952375281411	0.895	0.63	8.3913079390148e-124	"0"	"SPP1"
"SRPX"	6.27440367376741e-126	-1.43799392557097	0.344	0.641	1.46670460277987e-121	"0"	"SRPX"
"GRP"	8.84661320975404e-126	0.603382992205378	0.311	0.067	2.0679843039121e-121	"0"	"GRP"
