"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"SPINK1"	0	2.47101091297348	0.994	0.591	0	"5"	"SPINK1"
"SERPINA1"	0	2.31919731101408	0.926	0.259	0	"5"	"SERPINA1"
"MMP7"	0	1.62529254765974	0.948	0.375	0	"5"	"MMP7"
"PDZK1IP1"	0	1.42078045244615	0.784	0.119	0	"5"	"PDZK1IP1"
"SFTA2"	6.12807072296981e-301	0.765025005321802	0.502	0.05	1.43249781220142e-296	"5"	"SFTA2"
"KRT19"	1.28159145023433e-265	1.39049445826547	0.948	0.422	2.99584817406776e-261	"5"	"KRT19"
"KRT7"	1.45083805251901e-265	1.25433160928679	0.808	0.239	3.39147903156843e-261	"5"	"KRT7"
"AZGP1"	2.7116352098747e-240	0.541512542743263	0.375	0.031	6.33871846660309e-236	"5"	"AZGP1"
"TNNT1"	8.1212032860111e-239	0.43630216136534	0.279	0.012	1.89841248013796e-234	"5"	"TNNT1"
"SAA1"	1.49931900446364e-229	0.936742948654819	0.548	0.089	3.50480810483422e-225	"5"	"SAA1"
"SYT8"	2.10276603607183e-229	0.918357520529023	0.617	0.13	4.91542588592151e-225	"5"	"SYT8"
"HLA-DRB5"	1.38976027629344e-220	0.602041239416865	0.369	0.034	3.24870362186355e-216	"5"	"HLA-DRB5"
"C19orf77"	1.4992806873869e-211	0.466555901934944	0.304	0.021	3.50471853483561e-207	"5"	"C19orf77"
"SMIM22"	7.06560507929376e-195	0.863378201760546	0.636	0.158	1.65165584333571e-190	"5"	"SMIM22"
"INS"	3.87409629658429e-185	-2.67054817845594	0.78	0.939	9.05608750289543e-181	"5"	"INS"
"SLPI"	3.49286878561046e-166	0.792926775284438	0.723	0.25	8.16493007324302e-162	"5"	"SLPI"
"KRT8"	5.3180890488439e-156	0.915614675728692	0.882	0.447	1.24315649605775e-151	"5"	"KRT8"
"PPY"	3.81668017300289e-154	0.607075813910668	0.466	0.091	8.92187157241155e-150	"5"	"PPY"
"S100A9"	8.4763031423357e-153	0.750094594669538	0.658	0.211	1.98142062255239e-148	"5"	"S100A9"
"TMSB10"	7.92879364830212e-152	0.721425667657847	1	0.999	1.8534348032271e-147	"5"	"TMSB10"
"RARRES2"	9.0606647547536e-139	1.12950888383089	0.995	0.96	2.1180209930712e-134	"5"	"RARRES2"
"RPL28"	1.60289538442259e-133	0.520076221354004	1	0.999	3.74692825062624e-129	"5"	"RPL28"
"TACSTD2"	1.80047353132091e-131	0.779243923262256	0.685	0.251	4.20878692681575e-127	"5"	"TACSTD2"
"KRTCAP3"	1.35715620072704e-128	0.400493087971878	0.293	0.041	3.17248833481953e-124	"5"	"KRTCAP3"
"S100A11"	1.32796179237767e-124	0.64116305062152	1	0.98	3.10424348586203e-120	"5"	"S100A11"
"C7"	6.19854882137273e-124	-3.07253917568514	0.154	0.653	1.44897277248409e-119	"5"	"C7"
"CLDN4"	1.92308921928562e-119	0.690810602528319	0.586	0.195	4.49541335900206e-115	"5"	"CLDN4"
"LGALS1"	1.17794291558295e-118	0.734285086818558	1	0.997	2.75355935946671e-114	"5"	"LGALS1"
"GAPDH"	1.31694074090135e-117	0.863333251026187	1	0.978	3.07848067593098e-113	"5"	"GAPDH"
"MGP"	7.88493179083466e-117	-1.86519501306128	0.94	0.978	1.84318165542551e-112	"5"	"MGP"
"CRABP2"	8.52721118513691e-112	0.687120815087858	0.78	0.342	1.9933208866376e-107	"5"	"CRABP2"
