"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"WP5055"	"WP5055"	"Burn wound healing"	"17/148"	"111/7866"	1.85116397993439e-11	4.40577027224385e-09	3.5074685935599e-09	"6678/1278/2335/1277/3624/871/6282/4313/2200/5216/7852/6876/7076/6280/8038/1265/6423"	17
"WP3967"	"WP3967"	"miR-509-3p alteration of YAP1/ECM axis"	"7/148"	"19/7866"	3.0206395322028e-08	3.59456104332133e-06	2.86165850419213e-06	"6678/1281/2335/1277/7058/1289/1909"	7
"WP4786"	"WP4786"	"Type I collagen synthesis in the context of osteogenesis imperfecta"	"8/148"	"33/7866"	1.21174708984705e-07	9.61319357945323e-06	7.65313951482345e-06	"1278/1277/871/5034/5352/5479/60681/8321"	8
"WP3888"	"WP3888"	"VEGFA-VEGFR2 signaling pathway"	"25/148"	"439/7866"	5.32517874573784e-07	3.16848135371401e-05	2.52245309008634e-05	"2335/9168/4323/2597/3939/813/4313/5034/832/5329/5216/1072/5328/83442/811/4627/3486/378/3688/3693/682/2697/226/5654/6648"	25
"WP2911"	"WP2911"	"miRNA targets in ECM and membrane receptors"	"8/148"	"43/7866"	1.07933353679856e-06	5.13762763516114e-05	4.09010603418401e-05	"1278/1281/2335/7058/1290/1289/1293/3693"	8
"WP4629"	"WP4629"	"Aerobic glycolysis"	"5/148"	"12/7866"	1.56956421511654e-06	6.2259380532956e-05	4.95651857405222e-05	"5315/2597/3939/2023/226"	5
"WP615"	"WP615"	"Senescence and autophagy in cancer"	"11/148"	"108/7866"	5.20384784736665e-06	0.000176930826810466	0.000140856031958797	"6678/1281/2335/1277/3624/1300/4323/5328/3486/3488/5327"	11
"WP129"	"WP129"	"Matrix metalloproteinases"	"6/148"	"30/7866"	1.63939058922017e-05	0.000464723841188275	0.00036997032911937	"4320/4323/4313/7076/682/4316"	6
"WP4754"	"WP4754"	"IL-18 signaling pathway"	"17/148"	"279/7866"	1.75735906331701e-05	0.000464723841188275	0.00036997032911937	"1278/1281/2335/1277/4323/567/59/6696/4313/2023/860/7076/682/3925/7052/6352/6004"	17
"WP3624"	"WP3624"	"Lung fibrosis"	"8/148"	"63/7866"	2.09783113265227e-05	0.000499283809571241	0.000397483793555167	"6696/4313/26585/5328/7076/6498/6352/5265"	8
"WP306"	"WP306"	"Focal adhesion"	"14/148"	"202/7866"	2.46329199928235e-05	0.000532966814390181	0.000424299100354854	"1278/2335/1277/7058/1290/60/6696/1311/87/2316/56034/3688/3693/10398"	14
"WP5049"	"WP5049"	"Glycolysis in senescence"	"4/148"	"11/7866"	3.58364312930691e-05	0.000710755887312537	0.000565838388837933	"5315/2597/3939/2023"	4
"WP5097"	"WP5097"	"CCL18 signaling pathway"	"6/148"	"56/7866"	0.000599576088482878	0.0106387411478895	0.00846958605316277	"1278/2335/59/3939/4313/81671"	6
"WP5094"	"WP5094"	"Orexin receptor pathway"	"10/148"	"155/7866"	0.000655367928808857	0.0106387411478895	0.00846958605316277	"3399/3939/6696/861/860/8553/6498/1734/4616/3309"	10
"WP383"	"WP383"	"Striated muscle contraction pathway"	"5/148"	"38/7866"	0.000670508895875386	0.0106387411478895	0.00846958605316277	"59/7171/7168/10398/7169"	5
"WP4217"	"WP4217"	"Ebola virus pathway in host"	"9/148"	"132/7866"	0.000823052685643038	0.0122429086989402	0.00974667654050966	"1508/60/87/2316/3105/3122/3688/3106/3123"	9
"WP3668"	"WP3668"	"Hypothesized pathways in pathogenesis of cardiovascular disease"	"4/148"	"25/7866"	0.00111891795738881	0.0156648514034433	0.0124709122185749	"10631/2200/2316/860"	4
"WP4290"	"WP4290"	"Metabolic reprogramming in colon cancer"	"5/148"	"44/7866"	0.00132523144568898	0.015802581647263	0.0125805603560696	"5315/2597/3939/9123/2023"	5
"WP474"	"WP474"	"Endochondral ossification"	"6/148"	"65/7866"	0.00132794803758512	0.015802581647263	0.0125805603560696	"1300/871/6696/5328/860/5327"	6
"WP4808"	"WP4808"	"Endochondral ossification with skeletal dysplasias"	"6/148"	"65/7866"	0.00132794803758512	0.015802581647263	0.0125805603560696	"1300/871/6696/5328/860/5327"	6
"WP534"	"WP534"	"Glycolysis and gluconeogenesis"	"5/148"	"45/7866"	0.00146860397126812	0.0166441783410387	0.01325056214678	"5315/2597/3939/2023/226"	5
"WP5087"	"WP5087"	"Malignant pleural mesothelioma"	"18/148"	"447/7866"	0.00175102489680874	0.01894290570184	0.0150805971973959	"6678/115908/2335/4323/59/1009/60/11098/4313/6424/5328/4192/56034/3688/9686/8321/6352/6423"	18
"WP289"	"WP289"	"Myometrial relaxation and contraction pathways"	"9/148"	"158/7866"	0.00287964810921279	0.0297980978257672	0.0237225015861924	"59/60/5996/3486/3488/1265/2697/3485/6004"	9
"WP2839"	"WP2839"	"Hair follicle development: organogenesis - part 2 of 3"	"4/148"	"33/7866"	0.00322138927038204	0.030667625854037	0.0244147397334218	"3624/860/3688/8321"	4
"WP453"	"WP453"	"Inflammatory response pathway"	"4/148"	"33/7866"	0.00322138927038204	0.030667625854037	0.0244147397334218	"1278/1281/2335/1277"	4
"WP2272"	"WP2272"	"Pathogenic Escherichia coli infection"	"5/148"	"55/7866"	0.00359828698959058	0.0310852518745615	0.0247472151146443	"60/10095/3688/10109/203068"	5
"WP1946"	"WP1946"	"Cori cycle"	"3/148"	"17/7866"	0.00365708845583077	0.0310852518745615	0.0247472151146443	"2597/3939/226"	3
"WP3874"	"WP3874"	"Canonical and non-canonical TGF-B signaling"	"3/148"	"17/7866"	0.00365708845583077	0.0310852518745615	0.0247472151146443	"4016/26585/4017"	3
"WP558"	"WP558"	"Complement and coagulation cascades"	"5/148"	"59/7866"	0.00487722945405592	0.0389217655358006	0.0309859256808673	"1604/5329/5328/5327/5265"	5
"WP3614"	"WP3614"	"Photodynamic therapy-induced HIF-1 survival signaling"	"4/148"	"37/7866"	0.00490610489947066	0.0389217655358006	0.0309859256808673	"5315/3939/3486/3485"	4
"WP3932"	"WP3932"	"Focal adhesion: PI3K-Akt-mTOR-signaling pathway"	"13/148"	"309/7866"	0.00535700165646045	0.0411279482012125	0.0327422851668211	"1278/1281/2335/1277/7058/1290/1289/1301/6696/1311/56034/3688/3693"	13
"WP4018"	"WP4018"	"Clear cell renal cell carcinoma pathways"	"6/148"	"87/7866"	0.0057952264366405	0.0431019966225137	0.0343138407432661	"5315/2597/3939/5352/2023/226"	6
"WP4816"	"WP4816"	"TGF-beta receptor signaling in skeletal dysplasias"	"5/148"	"62/7866"	0.00602744366622241	0.0434706543200283	0.0346073320548655	"3624/6696/2200/860/6498"	5
"WP2328"	"WP2328"	"Allograft Rejection"	"6/148"	"90/7866"	0.00682540565585552	0.0477778395909887	0.0380363163484209	"1289/1604/3105/3122/3106/3123"	6
