"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0007568"	"GO:0007568"	"aging"	"10/58"	"319/18866"	4.22160303351123e-08	7.57355584211914e-05	5.30588844422359e-05	"TIMP1/KCNMB1/AGT/ENG/APOD/COL4A2/IGFBP5/CTSC/PDGFRB/IGFBP2"	10
"GO:0010712"	"GO:0010712"	"regulation of collagen metabolic process"	"5/58"	"49/18866"	3.95935406076644e-07	0.000355154059250749	0.000248814144660796	"F2R/ENG/CYGB/MFAP4/PDGFRB"	5
"GO:0030336"	"GO:0030336"	"negative regulation of cell migration"	"9/58"	"350/18866"	1.12322336061141e-06	0.000517303870457469	0.000362413202679234	"TIMP1/ENG/APOD/CYGB/IGFBP5/NR2F2/CYP1B1/GADD45A/APOE"	9
"GO:0048771"	"GO:0048771"	"tissue remodeling"	"7/58"	"178/18866"	1.18530077087347e-06	0.000517303870457469	0.000362413202679234	"TIMP1/F2R/AGT/TGM2/IGFBP5/BGN/THBS4"	7
"GO:2000146"	"GO:2000146"	"negative regulation of cell motility"	"9/58"	"365/18866"	1.58848012990523e-06	0.000517303870457469	0.000362413202679234	"TIMP1/ENG/APOD/CYGB/IGFBP5/NR2F2/CYP1B1/GADD45A/APOE"	9
"GO:0010466"	"GO:0010466"	"negative regulation of peptidase activity"	"8/58"	"272/18866"	1.73011327912197e-06	0.000517303870457469	0.000362413202679234	"TIMP1/AGT/A2M/RARRES1/CST2/LXN/GPC3/CST1"	8
"GO:0007565"	"GO:0007565"	"female pregnancy"	"7/58"	"196/18866"	2.25400026053959e-06	0.000548569312411931	0.000384317173631312	"TIMP1/AGT/IGFBP7/PGF/IGFBP5/NR2F2/IGFBP2"	7
"GO:0030198"	"GO:0030198"	"extracellular matrix organization"	"9/58"	"395/18866"	3.03572389751174e-06	0.000548569312411931	0.000384317173631312	"TIMP1/AGT/A2M/ENG/COL4A2/BGN/MFAP4/COL4A1/CYP1B1"	9
"GO:0043062"	"GO:0043062"	"extracellular structure organization"	"9/58"	"396/18866"	3.09899466994906e-06	0.000548569312411931	0.000384317173631312	"TIMP1/AGT/A2M/ENG/COL4A2/BGN/MFAP4/COL4A1/CYP1B1"	9
"GO:0040013"	"GO:0040013"	"negative regulation of locomotion"	"9/58"	"397/18866"	3.16339867924118e-06	0.000548569312411931	0.000384317173631312	"TIMP1/ENG/APOD/CYGB/IGFBP5/NR2F2/CYP1B1/GADD45A/APOE"	9
