"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0030198"	"GO:0030198"	"extracellular matrix organization"	"16/109"	"395/18866"	1.01986176705132e-09	1.27519205080856e-06	9.46356919265725e-07	"FBLN5/PDGFRA/PRSS1/DPT/CTRB1/CTRB2/FBLN1/MFAP4/ENG/A2M/CRISPLD2/COL14A1/ADAMTS1/RGCC/TIMP1/SERPINE1"	16
"GO:0043062"	"GO:0043062"	"extracellular structure organization"	"16/109"	"396/18866"	1.05780776457725e-09	1.27519205080856e-06	9.46356919265725e-07	"FBLN5/PDGFRA/PRSS1/DPT/CTRB1/CTRB2/FBLN1/MFAP4/ENG/A2M/CRISPLD2/COL14A1/ADAMTS1/RGCC/TIMP1/SERPINE1"	16
"GO:0052547"	"GO:0052547"	"regulation of peptidase activity"	"17/109"	"466/18866"	1.43387412009958e-09	1.27519205080856e-06	9.46356919265725e-07	"GPC3/GSN/TFPI/SERPING1/SERPINF1/RARRES1/FBLN1/APLP2/A2M/MYC/SPINK1/F2R/SERPINE2/TIMP1/SERPINE1/SERPINA1/C3"	17
"GO:2000146"	"GO:2000146"	"negative regulation of cell motility"	"15/109"	"365/18866"	2.92154213988638e-09	1.94866860730421e-06	1.44616335924376e-06	"CXCL12/IFITM1/PTN/APOE/FOXO3/SERPINF1/FBLN1/RHOB/ENG/CYGB/CD74/APOD/RGCC/TIMP1/SERPINE1"	15
"GO:0010466"	"GO:0010466"	"negative regulation of peptidase activity"	"13/109"	"272/18866"	5.95644292506346e-09	3.17835794481386e-06	2.35875139832513e-06	"GPC3/TFPI/SERPING1/SERPINF1/RARRES1/APLP2/A2M/SPINK1/SERPINE2/TIMP1/SERPINE1/SERPINA1/C3"	13
"GO:0040013"	"GO:0040013"	"negative regulation of locomotion"	"15/109"	"397/18866"	9.06954266294931e-09	3.82317681497322e-06	2.83729014004759e-06	"CXCL12/IFITM1/PTN/APOE/FOXO3/SERPINF1/FBLN1/RHOB/ENG/CYGB/CD74/APOD/RGCC/TIMP1/SERPINE1"	15
"GO:0051271"	"GO:0051271"	"negative regulation of cellular component movement"	"15/109"	"400/18866"	1.0030823727441e-08	3.82317681497322e-06	2.83729014004759e-06	"CXCL12/IFITM1/PTN/APOE/FOXO3/SERPINF1/FBLN1/RHOB/ENG/CYGB/CD74/APOD/RGCC/TIMP1/SERPINE1"	15
"GO:0030336"	"GO:0030336"	"negative regulation of cell migration"	"14/109"	"350/18866"	1.44236328129676e-08	4.81028154312468e-06	3.56984912120947e-06	"CXCL12/IFITM1/PTN/APOE/FOXO3/SERPINF1/RHOB/ENG/CYGB/CD74/APOD/RGCC/TIMP1/SERPINE1"	14
"GO:0052548"	"GO:0052548"	"regulation of endopeptidase activity"	"15/109"	"434/18866"	2.96428505543561e-08	8.55989951374058e-06	6.35254911439518e-06	"GSN/TFPI/SERPING1/SERPINF1/RARRES1/APLP2/A2M/MYC/SPINK1/F2R/SERPINE2/TIMP1/SERPINE1/SERPINA1/C3"	15
"GO:0010951"	"GO:0010951"	"negative regulation of endopeptidase activity"	"12/109"	"258/18866"	3.20835813858343e-08	8.55989951374058e-06	6.35254911439518e-06	"TFPI/SERPING1/SERPINF1/RARRES1/APLP2/A2M/SPINK1/SERPINE2/TIMP1/SERPINE1/SERPINA1/C3"	12
"GO:0061077"	"GO:0061077"	"chaperone-mediated protein folding"	"7/109"	"60/18866"	5.30933120189682e-08	1.28775414969643e-05	9.55679616341427e-06	"FKBP5/HSPB6/CLU/CD74/DNAJB1/HSPA1B/HSPA1A"	7
"GO:0002576"	"GO:0002576"	"platelet degranulation"	"9/109"	"129/18866"	5.90914287937135e-08	1.31379943351356e-05	9.75008575096272e-06	"IGF1/SERPING1/CFD/APLP2/CLU/A2M/TIMP1/SERPINE1/SERPINA1"	9
"GO:0006956"	"GO:0006956"	"complement activation"	"10/109"	"178/18866"	8.26263556774781e-08	1.6957470534424e-05	1.25846295570313e-05	"C7/SERPING1/COLEC11/CFH/CFD/MFAP4/CLU/A2M/RGCC/C3"	10
"GO:0098754"	"GO:0098754"	"detoxification"	"9/109"	"138/18866"	1.05850552940722e-07	2.0172091088989e-05	1.49702924873307e-05	"FBLN5/GPX3/MGST1/APOE/SOD3/CYGB/MT1X/MT2A/MT1M"	9
"GO:0045861"	"GO:0045861"	"negative regulation of proteolysis"	"13/109"	"369/18866"	2.13564835368545e-07	3.79860653842186e-05	2.8190558268648e-05	"GPC3/TFPI/SERPING1/SERPINF1/RARRES1/APLP2/A2M/SPINK1/SERPINE2/TIMP1/SERPINE1/SERPINA1/C3"	13
"GO:0030195"	"GO:0030195"	"negative regulation of blood coagulation"	"6/109"	"50/18866"	4.18420936360288e-07	6.82864079743696e-05	5.06773192613387e-05	"TFPI/SERPING1/PDGFRA/APOE/SERPINE2/SERPINE1"	6
"GO:0030193"	"GO:0030193"	"regulation of blood coagulation"	"7/109"	"82/18866"	4.70943999523772e-07	6.82864079743696e-05	5.06773192613387e-05	"TFPI/SERPING1/PDGFRA/APOE/F2R/SERPINE2/SERPINE1"	7
"GO:1900047"	"GO:1900047"	"negative regulation of hemostasis"	"6/109"	"51/18866"	4.71995830330512e-07	6.82864079743696e-05	5.06773192613387e-05	"TFPI/SERPING1/PDGFRA/APOE/SERPINE2/SERPINE1"	6
"GO:0001867"	"GO:0001867"	"complement activation, lectin pathway"	"4/109"	"12/18866"	5.03575298239935e-07	6.82864079743696e-05	5.06773192613387e-05	"SERPING1/COLEC11/MFAP4/A2M"	4
"GO:1900046"	"GO:1900046"	"regulation of hemostasis"	"7/109"	"83/18866"	5.11892113750896e-07	6.82864079743696e-05	5.06773192613387e-05	"TFPI/SERPING1/PDGFRA/APOE/F2R/SERPINE2/SERPINE1"	7
"GO:0045765"	"GO:0045765"	"regulation of angiogenesis"	"13/109"	"403/18866"	5.81452809809559e-07	7.07219471817056e-05	5.2484803380726e-05	"FBLN5/GLUL/PTN/SERPINF1/HSPB6/RHOB/ENG/BTG1/ADAMTS1/THBS4/RGCC/SERPINE1/C3"	13
"GO:0051346"	"GO:0051346"	"negative regulation of hydrolase activity"	"14/109"	"473/18866"	5.83164482008067e-07	7.07219471817056e-05	5.2484803380726e-05	"GPC3/TFPI/PTN/SERPING1/SERPINF1/RARRES1/APLP2/A2M/SPINK1/SERPINE2/TIMP1/SERPINE1/SERPINA1/C3"	14
"GO:0050819"	"GO:0050819"	"negative regulation of coagulation"	"6/109"	"55/18866"	7.45676302995756e-07	8.49744978681843e-05	6.30620336503017e-05	"TFPI/SERPING1/PDGFRA/APOE/SERPINE2/SERPINE1"	6
"GO:0050818"	"GO:0050818"	"regulation of coagulation"	"7/109"	"88/18866"	7.64388286670324e-07	8.49744978681843e-05	6.30620336503017e-05	"TFPI/SERPING1/PDGFRA/APOE/F2R/SERPINE2/SERPINE1"	7
"GO:0001558"	"GO:0001558"	"regulation of cell growth"	"13/109"	"420/18866"	9.24632378755212e-07	9.86767674607562e-05	7.32308843974127e-05	"FBLN5/CXCL12/IGF1/APOE/IGFBP4/MAP1B/BTG1/LTBP4/CRABP2/IGFBP7/SERPINE2/HSPA1B/HSPA1A"	13
"GO:1902430"	"GO:1902430"	"negative regulation of amyloid-beta formation"	"4/109"	"14/18866"	1.00930217874833e-06	0.000103569931265406	7.68622428431422e-05	"IGF1/APOE/NTRK2/CLU"	4
"GO:1901342"	"GO:1901342"	"regulation of vasculature development"	"13/109"	"444/18866"	1.71517809565718e-06	0.000169485005896791	0.00012577972701486	"FBLN5/GLUL/PTN/SERPINF1/HSPB6/RHOB/ENG/BTG1/ADAMTS1/THBS4/RGCC/SERPINE1/C3"	13
"GO:0090083"	"GO:0090083"	"regulation of inclusion body assembly"	"4/109"	"16/18866"	1.8188109304788e-06	0.000173306698661337	0.000128615915798144	"CLU/DNAJB1/HSPA1B/HSPA1A"	4
"GO:0009636"	"GO:0009636"	"response to toxic substance"	"10/109"	"250/18866"	1.88441995262494e-06	0.000173366635641495	0.000128660396765427	"FBLN5/GPX3/MGST1/APOE/MAP1B/SOD3/CYGB/MT1X/MT2A/MT1M"	10
"GO:0050673"	"GO:0050673"	"epithelial cell proliferation"	"13/109"	"453/18866"	2.14020487054252e-06	0.000190335553153581	0.000141253521455806	"GLUL/CXCL12/GPC3/IGF1/PTN/APOE/NFIB/IGFBP4/SERPINF1/MYC/THBS4/RGCC/NR4A1"	13
"GO:0006957"	"GO:0006957"	"complement activation, alternative pathway"	"4/109"	"17/18866"	2.36787113300557e-06	0.000195229448831062	0.000144885423045541	"C7/CFH/CFD/C3"	4
"GO:1902992"	"GO:1902992"	"negative regulation of amyloid precursor protein catabolic process"	"4/109"	"17/18866"	2.36787113300557e-06	0.000195229448831062	0.000144885423045541	"IGF1/APOE/NTRK2/CLU"	4
"GO:0006979"	"GO:0006979"	"response to oxidative stress"	"13/109"	"458/18866"	2.41475705075901e-06	0.000195229448831062	0.000144885423045541	"FBLN5/GPX3/MGST1/PDGFRA/APOE/FOXO3/MCL1/RHOB/SOD3/CYGB/APOD/HSPA1B/HSPA1A"	13
"GO:0050678"	"GO:0050678"	"regulation of epithelial cell proliferation"	"12/109"	"395/18866"	3.02511301809475e-06	0.000232825501957356	0.000172786541932371	"GLUL/CXCL12/GPC3/IGF1/PTN/APOE/NFIB/SERPINF1/MYC/THBS4/RGCC/NR4A1"	12
"GO:0001523"	"GO:0001523"	"retinoid metabolic process"	"7/109"	"108/18866"	3.05430755941059e-06	0.000232825501957356	0.000172786541932371	"ADH1B/GPC3/APOE/RBP1/CLPS/CRABP2/ALDH1A1"	7
"GO:0016101"	"GO:0016101"	"diterpenoid metabolic process"	"7/109"	"114/18866"	4.38113994899242e-06	0.000324691149553105	0.000240962697194583	"ADH1B/GPC3/APOE/RBP1/CLPS/CRABP2/ALDH1A1"	7
"GO:0016049"	"GO:0016049"	"cell growth"	"13/109"	"490/18866"	5.04178861485587e-06	0.000363553838498256	0.000269803823173368	"FBLN5/CXCL12/IGF1/APOE/IGFBP4/MAP1B/BTG1/LTBP4/CRABP2/IGFBP7/SERPINE2/HSPA1B/HSPA1A"	13
"GO:0061045"	"GO:0061045"	"negative regulation of wound healing"	"6/109"	"78/18866"	5.93301570603798e-06	0.000416560155360772	0.000309141344683031	"TFPI/SERPING1/PDGFRA/APOE/SERPINE2/SERPINE1"	6
"GO:0009235"	"GO:0009235"	"cobalamin metabolic process"	"4/109"	"22/18866"	7.11744891508999e-06	0.000486906505268207	0.000361347406458415	"PRSS1/CTRB1/CTRB2/CTRC"	4
"GO:0006721"	"GO:0006721"	"terpenoid metabolic process"	"7/109"	"124/18866"	7.64497064812612e-06	0.000509919542230012	0.000378426047082243	"ADH1B/GPC3/APOE/RBP1/CLPS/CRABP2/ALDH1A1"	7
"GO:0010712"	"GO:0010712"	"regulation of collagen metabolic process"	"5/109"	"49/18866"	9.14206213298855e-06	0.000594902970019841	0.000441494707885789	"MFAP4/ENG/CYGB/F2R/RGCC"	5
"GO:0070841"	"GO:0070841"	"inclusion body assembly"	"4/109"	"24/18866"	1.02473929645524e-05	0.000650953438795855	0.000483091382614615	"CLU/DNAJB1/HSPA1B/HSPA1A"	4
"GO:1903034"	"GO:1903034"	"regulation of response to wounding"	"8/109"	"183/18866"	1.10897604057817e-05	0.000688080947968037	0.00051064478147553	"TFPI/PTN/SERPING1/PDGFRA/APOE/F2R/SERPINE2/SERPINE1"	8
"GO:0034599"	"GO:0034599"	"cellular response to oxidative stress"	"10/109"	"310/18866"	1.25916334091358e-05	0.000763510862172145	0.000566623503411112	"FBLN5/GPX3/MGST1/PDGFRA/FOXO3/MCL1/RHOB/SOD3/HSPA1B/HSPA1A"	10
"GO:0032757"	"GO:0032757"	"positive regulation of interleukin-8 production"	"5/109"	"54/18866"	1.48180923497242e-05	0.000878548230868093	0.000651996063387865	"CD74/F2R/HSPA1B/SERPINE1/HSPA1A"	5
"GO:1903035"	"GO:1903035"	"negative regulation of response to wounding"	"6/109"	"93/18866"	1.64156084847037e-05	0.000952105292112814	0.000706584886950289	"TFPI/SERPING1/PDGFRA/APOE/SERPINE2/SERPINE1"	6
