"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0030198"	"GO:0030198"	"extracellular matrix organization"	"42/127"	"395/18866"	5.1824535752248e-39	6.71201983739977e-36	5.43717043442349e-36	"COL11A1/MMP11/MMP14/COL1A2/COL5A2/COL12A1/FN1/COL10A1/AEBP1/COL1A1/COL3A1/KLK4/SPARC/ANTXR1/MMP2/HTRA1/COL5A1/COL6A3/POSTN/MFAP2/ADAM12/COL8A2/SERPINH1/GREM1/TIMP2/SULF1/SULF2/PXDN/LOXL2/ITGB5/COL6A2/MFAP5/VCAN/CTSK/ITGA11/FBLN2/COL8A1/FBN1/COL6A1/LOXL1/FAP/FSCN1"	42
"GO:0043062"	"GO:0043062"	"extracellular structure organization"	"42/127"	"396/18866"	5.77129822648304e-39	6.71201983739977e-36	5.43717043442349e-36	"COL11A1/MMP11/MMP14/COL1A2/COL5A2/COL12A1/FN1/COL10A1/AEBP1/COL1A1/COL3A1/KLK4/SPARC/ANTXR1/MMP2/HTRA1/COL5A1/COL6A3/POSTN/MFAP2/ADAM12/COL8A2/SERPINH1/GREM1/TIMP2/SULF1/SULF2/PXDN/LOXL2/ITGB5/COL6A2/MFAP5/VCAN/CTSK/ITGA11/FBLN2/COL8A1/FBN1/COL6A1/LOXL1/FAP/FSCN1"	42
"GO:0030199"	"GO:0030199"	"collagen fibril organization"	"14/127"	"55/18866"	6.48470727211914e-19	5.02780970498304e-16	4.07285123406781e-16	"COL11A1/MMP11/COL1A2/COL5A2/COL12A1/AEBP1/COL1A1/COL3A1/COL5A1/SERPINH1/GREM1/PXDN/LOXL2/LOXL1"	14
"GO:0001503"	"GO:0001503"	"ossification"	"24/127"	"412/18866"	4.44116122714753e-16	2.58253525358629e-13	2.09202068331423e-13	"COL11A1/MMP14/COL1A2/COL5A2/COL1A1/SPARC/MMP2/RUNX2/CTHRC1/GREM1/FZD1/VCAN/CTSK/ID3/TPM4/ITGA11/TWIST1/CDH11/ISG15/ASPN/COL6A1/ID2/IGF2/GNAS"	24
"GO:0035987"	"GO:0035987"	"endodermal cell differentiation"	"11/127"	"46/18866"	9.04364803068416e-15	4.20710506387427e-12	3.40802736314203e-12	"COL11A1/MMP14/COL5A2/COL12A1/FN1/MMP2/COL5A1/INHBA/ITGB5/COL8A1/COL6A1"	11
"GO:0001706"	"GO:0001706"	"endoderm formation"	"11/127"	"55/18866"	7.70859455767333e-14	2.98836515685803e-11	2.42076916811145e-11	"COL11A1/MMP14/COL5A2/COL12A1/FN1/MMP2/COL5A1/INHBA/ITGB5/COL8A1/COL6A1"	11
"GO:0007492"	"GO:0007492"	"endoderm development"	"11/127"	"79/18866"	5.08275231708803e-12	1.68892598422096e-09	1.36813934550189e-09	"COL11A1/MMP14/COL5A2/COL12A1/FN1/MMP2/COL5A1/INHBA/ITGB5/COL8A1/COL6A1"	11
"GO:0001704"	"GO:0001704"	"formation of primary germ layer"	"12/127"	"127/18866"	5.70714056043309e-11	1.65935111794592e-08	1.34418178989148e-08	"COL11A1/MMP14/COL5A2/COL12A1/FN1/MMP2/COL5A1/INHBA/GJA1/ITGB5/COL8A1/COL6A1"	12
"GO:0032963"	"GO:0032963"	"collagen metabolic process"	"11/127"	"113/18866"	2.69753601676692e-10	6.97163197222206e-08	5.64747306434244e-08	"MMP11/MMP14/COL1A2/COL1A1/MMP2/COL5A1/SERPINH1/CTSK/CTSB/RCN3/FAP"	11
"GO:0007369"	"GO:0007369"	"gastrulation"	"13/127"	"189/18866"	4.75071074508827e-10	1.10501531930753e-07	8.95133919337685e-08	"COL11A1/MMP14/COL5A2/COL12A1/FN1/MMP2/COL5A1/INHBA/GJA1/ITGB5/COL8A1/COL6A1/WNK1"	13
