"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"WP5094"	"WP5094"	"Orexin receptor pathway"	"22/180"	"155/7866"	4.66019547368303e-12	1.82679662568375e-09	1.28523285695258e-09	"8013/3569/9314/3400/2354/9456/2920/6446/1839/3164/4609/23764/7422/6696/3383/3726/3949/3939/2353/1026/1960/3091"	22
"WP4754"	"WP4754"	"IL-18 signaling pathway"	"26/180"	"279/7866"	7.51833300473615e-10	1.1626052571191e-07	8.17944622355543e-08	"3569/2920/54205/6347/5966/9208/3164/7076/7422/467/9021/6696/3383/5743/2353/2921/26353/55858/10365/1051/9497/382/4792/8870/4790/7128"	26
"WP3888"	"WP3888"	"VEGFA-VEGFR2 signaling pathway"	"33/180"	"439/7866"	8.89748921264617e-10	1.1626052571191e-07	8.17944622355543e-08	"8013/4929/5329/4773/54205/1839/6347/3301/3164/7422/4772/6648/5770/3383/7430/84790/6129/55379/3939/5743/6386/1977/1847/1960/7295/26986/9584/7170/81873/382/468/4792/4790"	33
"WP2374"	"WP2374"	"Oncostatin M signaling pathway"	"12/180"	"66/7866"	2.3974826482658e-08	2.34953299530049e-06	1.65300119433063e-06	"6347/3727/7422/5054/9021/3726/3949/2353/1051/3091/4792/4790"	12
"WP3614"	"WP3614"	"Photodynamic therapy-induced HIF-1 survival signaling"	"9/180"	"37/7866"	1.00920333308111e-07	7.91215413135592e-06	5.56655312141582e-06	"3485/4170/7422/5054/3939/5743/6566/6515/3091"	9
"WP516"	"WP516"	"Hypertrophy model"	"7/180"	"20/7866"	1.76296132273824e-07	1.15180139752231e-05	8.10343625539329e-06	"8013/1839/3727/7422/467/1977/3554"	7
"WP560"	"WP560"	"TGF-beta receptor signaling"	"9/180"	"58/7866"	5.71121265069089e-06	0.00031982790843869	0.000225013190147521	"3976/5054/6696/7057/2353/7050/10468/2280/4790"	9
"WP236"	"WP236"	"Adipogenesis"	"13/180"	"131/7866"	8.43495547744941e-06	0.000385991315385664	0.000271562096216552	"3569/4000/10135/1316/3976/5054/9021/3479/688/1026/1051/7291/3091"	13
"WP4816"	"WP4816"	"TGF-beta receptor signaling in skeletal dysplasias"	"9/180"	"62/7866"	1.00566327012601e-05	0.000385991315385664	0.000271562096216552	"3976/5054/6696/7057/2353/7050/10468/2280/4790"	9
"WP3617"	"WP3617"	"Photodynamic therapy-induced NF-kB survival signaling"	"7/180"	"35/7866"	1.14374822368691e-05	0.000385991315385664	0.000271562096216552	"3569/2920/5966/7422/3383/5743/4790"	7
"WP3624"	"WP3624"	"Lung fibrosis"	"9/180"	"63/7866"	1.15042105979037e-05	0.000385991315385664	0.000271562096216552	"3569/2920/4502/6347/7076/6696/3479/1051/2252"	9
"WP5115"	"WP5115"	"Network map of SARS-CoV-2 signaling pathway"	"17/180"	"222/7866"	1.18160606750714e-05	0.000385991315385664	0.000271562096216552	"3569/2920/6347/5054/1843/3726/5743/2353/3312/2921/1977/1051/3429/6009/3091/3426/629"	17
"WP3646"	"WP3646"	"Hepatitis C and hepatocellular carcinoma"	"8/180"	"50/7866"	1.51967668836438e-05	0.00045614824380424	0.000320920622654971	"3569/4609/7422/5743/1026/3091/960/4790"	8
"WP2865"	"WP2865"	"IL1 and megakaryocytes in obesity"	"6/180"	"25/7866"	1.62910087072943e-05	0.00045614824380424	0.000320920622654971	"1839/6347/7076/3383/3554/4790"	6
"WP2431"	"WP2431"	"Spinal cord injury"	"12/180"	"120/7866"	1.75179517626261e-05	0.000457802472729963	0.00032208444644267	"3569/57556/2920/6347/3164/4609/3383/5743/2353/388/3554/2280"	12
"WP1533"	"WP1533"	"Vitamin B12 metabolism"	"8/180"	"53/7866"	2.36613103981916e-05	0.000579702104755695	0.000407846271337251	"3569/6347/5054/6648/3383/3949/348/4790"	8
"WP107"	"WP107"	"Translation factors"	"8/180"	"54/7866"	2.72396622026406e-05	0.000593219310190841	0.000417356227900108	"1973/10209/1984/2107/8669/1977/8661/26986"	8
"WP2864"	"WP2864"	"Apoptosis-related network due to altered Notch3 in ovarian cancer"	"8/180"	"54/7866"	2.72396622026406e-05	0.000593219310190841	0.000417356227900108	"3727/9021/348/7057/1026/8531/8870/4790"	8
"WP2272"	"WP2272"	"Pathogenic Escherichia coli infection"	"8/180"	"55/7866"	3.12604398944719e-05	0.000644952233612263	0.000453752645559648	"7280/10383/7430/84790/81873/84617/10376/3875"	8
"WP4659"	"WP4659"	"Gastrin signaling pathway"	"11/180"	"114/7866"	5.51682559031618e-05	0.00108129781570197	0.000760741212980442	"9314/4609/7422/5054/5743/2353/1026/388/960/4792/4790"	11
"WP4482"	"WP4482"	"Vitamin D in inflammatory diseases"	"5/180"	"22/7866"	0.000113913012018238	0.00212637622434045	0.00149600045858539	"3569/1843/4772/4792/4790"	5
"WP3611"	"WP3611"	"Photodynamic therapy-induced AP-1 survival signaling"	"7/180"	"51/7866"	0.00014461347140435	0.00257674912684115	0.00181285787119329	"3569/1839/4170/3726/2353/1026/2252"	7
"WP2814"	"WP2814"	"Mammary gland development pathway - Puberty (Stage 2 of 4)"	"4/180"	"13/7866"	0.000161322531247013	0.00274949705429692	0.00193439373852254	"374/8061/4609/7076"	4
"WP5055"	"WP5055"	"Burn wound healing"	"10/180"	"111/7866"	0.000214238182455592	0.00334781956286809	0.00235534029396198	"3569/9314/6347/7076/7422/3383/10468/4792/4790/7128"	10
"WP4963"	"WP4963"	"p53 transcriptional gene network"	"8/180"	"72/7866"	0.000220694128895854	0.00334781956286809	0.00235534029396198	"6303/3976/6347/9618/5054/3383/7057/1026"	8
"WP366"	"WP366"	"TGF-beta signaling pathway"	"11/180"	"133/7866"	0.000222049256720843	0.00334781956286809	0.00235534029396198	"2354/1316/4609/3727/467/3726/7057/11171/2353/7050/1026"	11
"WP15"	"WP15"	"Selenium micronutrient network"	"9/180"	"92/7866"	0.000238988312021731	0.00346975623379699	0.00244112817737597	"3569/6347/5054/6648/3383/3949/5743/7295/4790"	9
"WP2355"	"WP2355"	"Corticotropin-releasing hormone signaling pathway"	"9/180"	"93/7866"	0.000259462346145329	0.00363247284603461	0.0025556065672961	"4929/8061/2354/3164/3727/3726/2353/4792/4790"	9
"WP2806"	"WP2806"	"Complement system"	"9/180"	"99/7866"	0.000415212903824922	0.00561253304480584	0.00394866717975062	"5329/717/6696/3383/7057/718/7295/3426/629"	9
"WP2586"	"WP2586"	"Aryl hydrocarbon receptor Netpath"	"6/180"	"48/7866"	0.000729649590255285	0.00953408797933573	0.00670765588234683	"1316/4609/7422/5743/1026/4790"	6
"WP4666"	"WP4666"	"Hepatitis B infection"	"11/180"	"154/7866"	0.000780351516486077	0.00986767078911427	0.00694234625872164	"3569/4773/54205/9586/4609/4772/2353/1026/1960/468/4790"	11
"WP2817"	"WP2817"	"Mammary gland development pathway - Pregnancy and lactation (Stage 3 of 4)"	"5/180"	"33/7866"	0.000837279530389697	0.00994586593675035	0.00699736003068902	"4609/5770/1977/1051/7170"	5
"WP5088"	"WP5088"	"Prostaglandin signaling"	"5/180"	"33/7866"	0.000837279530389697	0.00994586593675035	0.00699736003068902	"374/3569/6347/7422/4790"	5
"WP2637"	"WP2637"	"Interleukin-1 (IL-1) structural pathway"	"6/180"	"50/7866"	0.0009098165250024	0.0104896493470865	0.00737993589940027	"4609/2353/1977/4792/3554/4790"	6
"WP2359"	"WP2359"	"Parkin-ubiquitin proteasomal system pathway"	"7/180"	"70/7866"	0.00103955172029062	0.0116429792672549	0.00819135490875613	"7280/10383/84790/3312/3313/84617/10376"	7
"WP481"	"WP481"	"Insulin signaling"	"11/180"	"161/7866"	0.0011264183649699	0.0122654444185611	0.00862928688953547	"6446/6616/5770/9021/2353/1977/7494/23433/6810/6009/382"	11
"WP4970"	"WP4970"	"Galanin receptor pathway"	"4/180"	"21/7866"	0.00117004164637198	0.0123961169021032	0.00872122080652802	"3569/7422/2353/1026"	4
"WP176"	"WP176"	"Folate metabolism"	"7/180"	"73/7866"	0.00133406269671546	0.0137619099240121	0.00968211707865513	"3569/6347/5054/6648/3383/3949/4790"	7
