"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0071276"	"GO:0071276"	"cellular response to cadmium ion"	"8/200"	"38/18866"	5.16272434668961e-09	1.82347423925077e-05	1.30807131605073e-05	"GSN/JUN/MT1G/EGFR/MT2A/MT1A/MT1M/MT1X"	8
"GO:0009636"	"GO:0009636"	"response to toxic substance"	"16/200"	"250/18866"	1.08316851603583e-08	1.91287559931928e-05	1.37220348320961e-05	"FBLN5/GPX3/EPHX1/PRDX6/CST3/INMT/CYGB/MGST1/GSTM3/MT1G/MAP1B/MT2A/MT1A/APOE/MT1M/MT1X"	16
"GO:0006979"	"GO:0006979"	"response to oxidative stress"	"21/200"	"458/18866"	1.961993089223e-08	2.30991986371188e-05	1.65702363710869e-05	"INS/FBLN5/APOD/RHOB/GPX3/PRDX6/CST3/JUN/CYGB/PDLIM1/MGST1/AQP1/EGFR/PDGFRA/TXNIP/FOXO3/APOE/PDGFD/HSPA1A/HSPD1/HSPA1B"	21
"GO:0098754"	"GO:0098754"	"detoxification"	"12/200"	"138/18866"	2.74378971219067e-08	2.42276631586436e-05	1.73797416769551e-05	"FBLN5/GPX3/PRDX6/CYGB/MGST1/GSTM3/MT1G/MT2A/MT1A/APOE/MT1M/MT1X"	12
"GO:0050678"	"GO:0050678"	"regulation of epithelial cell proliferation"	"19/200"	"395/18866"	4.54904019835284e-08	2.90009359303125e-05	2.08038543196824e-05	"PTN/CXCL12/EDNRB/GPC3/GLUL/AGTR1/JUN/NFIB/MYC/SFRP1/CCL2/ZFP36/RGCC/ACVRL1/EGFR/CCND1/LAMB1/APOE/BMP4"	19
"GO:0042493"	"GO:0042493"	"response to drug"	"19/200"	"397/18866"	4.9265463075276e-08	2.90009359303125e-05	2.08038543196824e-05	"PTN/APOD/CST3/GAS6/ATP1A1/ADIRF/MYC/SFRP1/MGST1/FOSB/AQP1/MAP1B/EGFR/CCND1/TXNIP/FOXO3/MT2A/HSP90AB1/HSPD1"	19
"GO:0048146"	"GO:0048146"	"positive regulation of fibroblast proliferation"	"8/200"	"51/18866"	5.97473782367982e-08	3.01468199903387e-05	2.16258555512742e-05	"PLA2G1B/GAS6/JUN/MYC/AQP1/EGFR/PDGFRA/PDGFD"	8
"GO:0009235"	"GO:0009235"	"cobalamin metabolic process"	"6/200"	"22/18866"	8.52930821395943e-08	3.34256679481619e-05	2.3977940856895e-05	"PRSS1/CTRB1/CTRC/CTRB2/PRSS3/CD320"	6
"GO:0045926"	"GO:0045926"	"negative regulation of growth"	"15/200"	"254/18866"	9.14891029732716e-08	3.34256679481619e-05	2.3977940856895e-05	"GPC3/JADE1/SFRP1/MT1G/ACVRL1/SOCS2/MT2A/FHL1/MT1A/MT1M/MT1X/BMP4/SLIT2/HSPA1A/HSPA1B"	15
"GO:0072001"	"GO:0072001"	"renal system development"	"16/200"	"292/18866"	9.46366589698807e-08	3.34256679481619e-05	2.3977940856895e-05	"SPRY1/GPC3/NFIA/ZBTB16/AGTR1/MYC/SFRP1/DCN/TCF21/PDGFRA/EGR1/ARID5B/BMP4/PDGFD/SLIT2/ADAMTS1"	16
"GO:0001667"	"GO:0001667"	"ameboidal-type cell migration"	"20/200"	"481/18866"	2.12218061232129e-07	5.16793632962823e-05	3.70722499416319e-05	"PTN/EDNRB/RHOB/GPC3/SMOC2/GLUL/PRSS3/JUN/CYGB/PDLIM1/RGCC/DCN/TMSB4X/ACVRL1/SASH1/APOE/ARID5B/EMP2/BMP4/SLIT2"	20
"GO:0030198"	"GO:0030198"	"extracellular matrix organization"	"18/200"	"395/18866"	2.335418928345e-07	5.16793632962823e-05	3.70722499416319e-05	"PRSS1/DPT/CTRB1/FBLN5/CTRB2/SMOC2/CST3/A2M/GAS6/LAMA2/RGCC/DCN/PDGFRA/COL15A1/FBLN1/TNXB/LAMB1/ADAMTS1"	18
"GO:0048145"	"GO:0048145"	"regulation of fibroblast proliferation"	"9/200"	"83/18866"	2.35873092210203e-07	5.16793632962823e-05	3.70722499416319e-05	"PLA2G1B/GAS6/JUN/MYC/SFRP1/AQP1/EGFR/PDGFRA/PDGFD"	9
"GO:0043062"	"GO:0043062"	"extracellular structure organization"	"18/200"	"396/18866"	2.42408491224701e-07	5.16793632962823e-05	3.70722499416319e-05	"PRSS1/DPT/CTRB1/FBLN5/CTRB2/SMOC2/CST3/A2M/GAS6/LAMA2/RGCC/DCN/PDGFRA/COL15A1/FBLN1/TNXB/LAMB1/ADAMTS1"	18
"GO:0048144"	"GO:0048144"	"fibroblast proliferation"	"9/200"	"84/18866"	2.6177859801258e-07	5.16793632962823e-05	3.70722499416319e-05	"PLA2G1B/GAS6/JUN/MYC/SFRP1/AQP1/EGFR/PDGFRA/PDGFD"	9
