"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0030198"	"GO:0030198"	"extracellular matrix organization"	"21/73"	"395/18866"	1.29539939738188e-18	1.12825715701926e-15	8.04923485660658e-16	"MMP11/COL11A1/POSTN/FN1/MMP14/COL12A1/TGFBI/COL5A2/COL3A1/LOXL2/GREM1/COL10A1/ANTXR1/COL1A2/SULF1/COL1A1/COL5A1/MFAP2/HTRA1/COL8A1/COMP"	21
"GO:0043062"	"GO:0043062"	"extracellular structure organization"	"21/73"	"396/18866"	1.3642770943401e-18	1.12825715701926e-15	8.04923485660658e-16	"MMP11/COL11A1/POSTN/FN1/MMP14/COL12A1/TGFBI/COL5A2/COL3A1/LOXL2/GREM1/COL10A1/ANTXR1/COL1A2/SULF1/COL1A1/COL5A1/MFAP2/HTRA1/COL8A1/COMP"	21
"GO:0030199"	"GO:0030199"	"collagen fibril organization"	"11/73"	"55/18866"	1.38489242405462e-16	7.63537356462114e-14	5.44724353461484e-14	"MMP11/COL11A1/COL12A1/COL5A2/COL3A1/LOXL2/GREM1/COL1A2/COL1A1/COL5A1/COMP"	11
"GO:0035987"	"GO:0035987"	"endodermal cell differentiation"	"8/73"	"46/18866"	7.85369615199296e-12	3.24750335884909e-09	2.31684036483792e-09	"COL11A1/FN1/MMP14/COL12A1/COL5A2/COL5A1/COL8A1/INHBA"	8
"GO:0001706"	"GO:0001706"	"endoderm formation"	"8/73"	"55/18866"	3.56483768186684e-11	1.17924830516155e-08	8.41301692920574e-09	"COL11A1/FN1/MMP14/COL12A1/COL5A2/COL5A1/COL8A1/INHBA"	8
"GO:0007492"	"GO:0007492"	"endoderm development"	"8/73"	"79/18866"	7.09579911434467e-10	1.95607528918768e-07	1.39550715915445e-07	"COL11A1/FN1/MMP14/COL12A1/COL5A2/COL5A1/COL8A1/INHBA"	8
"GO:0007178"	"GO:0007178"	"transmembrane receptor protein serine/threonine kinase signaling pathway"	"12/73"	"359/18866"	1.21656057874038e-08	2.87455885319513e-06	2.0507735470195e-06	"COL3A1/GREM1/COL1A2/SULF1/RUNX2/NREP/HTRA1/TGFB1I1/NBL1/INHBA/HSPA1A/COMP"	12
"GO:0001704"	"GO:0001704"	"formation of primary germ layer"	"8/73"	"127/18866"	3.14592438363717e-08	6.50419866316984e-06	4.64023846586482e-06	"COL11A1/FN1/MMP14/COL12A1/COL5A2/COL5A1/COL8A1/INHBA"	8
"GO:0061448"	"GO:0061448"	"connective tissue development"	"10/73"	"262/18866"	6.47458337145299e-08	1.18988454404258e-05	8.48889819812725e-06	"COL11A1/TGFBI/LOXL2/GREM1/SULF1/COL1A1/COL5A1/RUNX2/ACTA2/COMP"	10
"GO:0002062"	"GO:0002062"	"chondrocyte differentiation"	"7/73"	"108/18866"	1.97699344490511e-07	3.26994715787306e-05	2.33285226498803e-05	"COL11A1/TGFBI/LOXL2/GREM1/SULF1/RUNX2/COMP"	7
"GO:0001503"	"GO:0001503"	"ossification"	"11/73"	"412/18866"	4.97664931477142e-07	7.48307087875629e-05	5.33858744675479e-05	"COL11A1/CTHRC1/MMP14/COL5A2/GREM1/COL1A2/COL1A1/IGFBP5/RUNX2/IGFBP3/COMP"	11
"GO:0071559"	"GO:0071559"	"response to transforming growth factor beta"	"9/73"	"258/18866"	6.58689045534533e-07	8.57775275023236e-05	6.11955758480906e-05	"POSTN/COL3A1/MXRA5/COL1A2/COL1A1/NREP/HTRA1/TGFB1I1/HSPA1A"	9
"GO:0007369"	"GO:0007369"	"gastrulation"	"8/73"	"189/18866"	6.74188547478964e-07	8.57775275023236e-05	6.11955758480906e-05	"COL11A1/FN1/MMP14/COL12A1/COL5A2/COL5A1/COL8A1/INHBA"	8
"GO:0051216"	"GO:0051216"	"cartilage development"	"8/73"	"197/18866"	9.2219847387034e-07	0.000108951162555824	7.77281570833573e-05	"COL11A1/TGFBI/LOXL2/GREM1/SULF1/COL1A1/RUNX2/COMP"	8
"GO:0034109"	"GO:0034109"	"homotypic cell-cell adhesion"	"6/73"	"86/18866"	1.0023041233283e-06	0.000110520734665667	7.8847924368493e-05	"LGALS1/FN1/CD99/MYL9/PLAUR/COMP"	6
"GO:0031589"	"GO:0031589"	"cell-substrate adhesion"	"10/73"	"359/18866"	1.17697880007612e-06	0.000121670183457869	8.68021865056139e-05	"LGALS1/POSTN/FN1/MMP14/PLAU/COL3A1/GREM1/ANTXR1/COL1A1/COL8A1"	10
"GO:0010810"	"GO:0010810"	"regulation of cell-substrate adhesion"	"8/73"	"217/18866"	1.90508516240514e-06	0.000185353579918712	0.000132235323037534	"LGALS1/POSTN/FN1/MMP14/PLAU/GREM1/COL1A1/COL8A1"	8
"GO:0006735"	"GO:0006735"	"NADH regeneration"	"4/73"	"27/18866"	3.38421473613847e-06	0.000279874558678652	0.00019966866943217	"GAPDH/ENO1/PKM/PGK1"	4
"GO:0061621"	"GO:0061621"	"canonical glycolysis"	"4/73"	"27/18866"	3.38421473613847e-06	0.000279874558678652	0.00019966866943217	"GAPDH/ENO1/PKM/PGK1"	4
"GO:0061718"	"GO:0061718"	"glucose catabolic process to pyruvate"	"4/73"	"27/18866"	3.38421473613847e-06	0.000279874558678652	0.00019966866943217	"GAPDH/ENO1/PKM/PGK1"	4
