"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0019674"	"GO:0019674"	"NAD metabolic process"	"6/83"	"50/18866"	8.21579192060644e-08	4.04198489251664e-05	3.26447030663132e-05	"GAPDH/ENO1/PKM/LDHA/TPI1/PGK1"	6
"GO:0006735"	"GO:0006735"	"NADH regeneration"	"5/83"	"27/18866"	1.09142690598802e-07	4.04198489251664e-05	3.26447030663132e-05	"GAPDH/ENO1/PKM/TPI1/PGK1"	5
"GO:0061621"	"GO:0061621"	"canonical glycolysis"	"5/83"	"27/18866"	1.09142690598802e-07	4.04198489251664e-05	3.26447030663132e-05	"GAPDH/ENO1/PKM/TPI1/PGK1"	5
"GO:0061718"	"GO:0061718"	"glucose catabolic process to pyruvate"	"5/83"	"27/18866"	1.09142690598802e-07	4.04198489251664e-05	3.26447030663132e-05	"GAPDH/ENO1/PKM/TPI1/PGK1"	5
"GO:0061620"	"GO:0061620"	"glycolytic process through glucose-6-phosphate"	"5/83"	"28/18866"	1.32412006624068e-07	4.04198489251664e-05	3.26447030663132e-05	"GAPDH/ENO1/PKM/TPI1/PGK1"	5
"GO:0030198"	"GO:0030198"	"extracellular matrix organization"	"12/83"	"395/18866"	1.52455161168995e-07	4.04198489251664e-05	3.26447030663132e-05	"MMP7/COL11A1/ITGA11/COL10A1/MFAP2/COL5A2/FN1/PDPN/COL1A1/COL12A1/COL8A1/CTSK"	12
"GO:0043062"	"GO:0043062"	"extracellular structure organization"	"12/83"	"396/18866"	1.56667358239329e-07	4.04198489251664e-05	3.26447030663132e-05	"MMP7/COL11A1/ITGA11/COL10A1/MFAP2/COL5A2/FN1/PDPN/COL1A1/COL12A1/COL8A1/CTSK"	12
"GO:0061615"	"GO:0061615"	"glycolytic process through fructose-6-phosphate"	"5/83"	"29/18866"	1.59447135799473e-07	4.04198489251664e-05	3.26447030663132e-05	"GAPDH/ENO1/PKM/TPI1/PGK1"	5
"GO:0006007"	"GO:0006007"	"glucose catabolic process"	"5/83"	"36/18866"	4.9410299215255e-07	0.000111337874231708	8.99209655893998e-05	"GAPDH/ENO1/PKM/TPI1/PGK1"	5
"GO:0006734"	"GO:0006734"	"NADH metabolic process"	"5/83"	"41/18866"	9.65417278296165e-07	0.000195786624038462	0.000158125187897772	"GAPDH/ENO1/PKM/TPI1/PGK1"	5
