"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0009636"	"GO:0009636"	"response to toxic substance"	"19/177"	"250/18866"	2.56286735130762e-12	8.01921194224155e-09	6.09422878589886e-09	"MT2A/SOD3/CST3/MT1X/MAP1B/CYGB/CYP1B1/INMT/PRDX6/FBLN5/GSTT1/GPX3/MGST1/MT1E/MT1M/GSTM3/FOS/SOD2/APOE"	19
"GO:0030198"	"GO:0030198"	"extracellular matrix organization"	"22/177"	"395/18866"	2.14956255121703e-11	2.35496218297596e-08	1.78966193044447e-08	"TIMP1/CST3/MFAP4/COL14A1/CTRB2/PRSS1/A2M/CTRB1/CYP1B1/GAS6/FBLN5/ABI3BP/COL4A1/CRISPLD2/ENG/ADAMTS1/COL4A2/FBLN1/CCDC80/DPT/COL15A1/SERPINE1"	22
"GO:0043062"	"GO:0043062"	"extracellular structure organization"	"22/177"	"396/18866"	2.25787361742662e-11	2.35496218297596e-08	1.78966193044447e-08	"TIMP1/CST3/MFAP4/COL14A1/CTRB2/PRSS1/A2M/CTRB1/CYP1B1/GAS6/FBLN5/ABI3BP/COL4A1/CRISPLD2/ENG/ADAMTS1/COL4A2/FBLN1/CCDC80/DPT/COL15A1/SERPINE1"	22
"GO:0098754"	"GO:0098754"	"detoxification"	"14/177"	"138/18866"	4.67786886201685e-11	3.65926291731268e-08	2.78086993665686e-08	"MT2A/SOD3/MT1X/CYGB/PRDX6/FBLN5/GSTT1/GPX3/MGST1/MT1E/MT1M/GSTM3/SOD2/APOE"	14
"GO:0045861"	"GO:0045861"	"negative regulation of proteolysis"	"20/177"	"369/18866"	3.01170361649955e-10	1.88472412320542e-07	1.43230283572053e-07	"TIMP1/CST3/C3/INS/SPINK1/TFPI/RPS7/RPL5/A2M/RARRES1/GPC3/GAS6/HSP90AB1/SERPINF1/SERPINA1/SLPI/CST1/LXN/SERPINE2/SERPINE1"	20
"GO:0052547"	"GO:0052547"	"regulation of peptidase activity"	"21/177"	"466/18866"	2.96105733662706e-09	1.54419140105101e-06	1.1735137760422e-06	"TIMP1/CST3/C3/SPINK1/TFPI/GSN/A2M/RARRES1/MYC/GPC3/GAS6/SERPINF1/SERPINA1/F2R/SLPI/F3/FBLN1/CST1/LXN/SERPINE2/SERPINE1"	21
"GO:0006614"	"GO:0006614"	"SRP-dependent cotranslational protein targeting to membrane"	"11/177"	"105/18866"	4.21314526906068e-09	1.78787496333197e-06	1.3587019704183e-06	"RPS4X/RPS9/RPL21/RPL17/RPS27A/RPL6/RPL10A/RPS7/RPS5/RPL7/RPL5"	11
"GO:0019080"	"GO:0019080"	"viral gene expression"	"14/177"	"195/18866"	4.5711088867548e-09	1.78787496333197e-06	1.3587019704183e-06	"RPS4X/RPS9/RPL21/RPL17/RPS27A/RPL6/RPL10A/ZFP36/RPS7/RPS5/RPL7/RPL5/EIF3L/JUN"	14
"GO:0010466"	"GO:0010466"	"negative regulation of peptidase activity"	"16/177"	"272/18866"	6.21682698155272e-09	1.96561394487046e-06	1.49377534489323e-06	"TIMP1/CST3/C3/SPINK1/TFPI/A2M/RARRES1/GPC3/GAS6/SERPINF1/SERPINA1/SLPI/CST1/LXN/SERPINE2/SERPINE1"	16
"GO:0006613"	"GO:0006613"	"cotranslational protein targeting to membrane"	"11/177"	"109/18866"	6.28192376117118e-09	1.96561394487046e-06	1.49377534489323e-06	"RPS4X/RPS9/RPL21/RPL17/RPS27A/RPL6/RPL10A/RPS7/RPS5/RPL7/RPL5"	11
